parameter,demonstrative_min,demonstrative_max,demonstrative_mean,interpretation,empirical_data_needed,evidence_priority,calibration_status,minimum_viable_validation_question
marginal_contact_benefit,0.05,0.9,0.514,Strength of demand-driven payment for eligible primary/urgent/ambulance contact types.,"Benefit schedule design, claim rates, payment elasticity, MBS/ACC analogues.",critical,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for marginal_contact_benefit, and does stakeholder evidence support its direction of effect?"
capitation_weighting,0.3,0.8,0.64,"Adequacy of capitation weights for need, deprivation, rurality, multimorbidity and delivery cost.","Current and proposed capitation formula, NES enrolment data, utilisation/cost modelling.",high,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for capitation_weighting, and does stakeholder evidence support its direction of effect?"
scope_flexibility,0.25,0.9,0.57,Extent to which claimable activity can be generated by providers other than GPs where within scope.,"Scopes of practice, prescribing rules, workforce numbers, provider productivity, substitution evidence.",critical,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for scope_flexibility, and does stakeholder evidence support its direction of effect?"
pho_transaction_cost,0.1,0.65,0.36,"Friction, delay, opacity and entry barriers caused by PHO payment intermediation.","PHO financial flows, pass-through rules, contracting timelines, provider entry case studies.",high,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for pho_transaction_cost, and does stakeholder evidence support its direction of effect?"
primary_kpi_salience,0.15,0.85,0.52,"Political and managerial visibility of primary care access, continuity and co-payment indicators.","Health target reporting, governance papers, performance dashboards, HNZ board reporting.",high,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for primary_kpi_salience, and does stakeholder evidence support its direction of effect?"
ambulance_kpi_salience,0.2,0.8,0.48,"Visibility of ambulance response, non-conveyance, treat-and-refer and ED interface indicators.","Ambulance contract KPIs, response times, ramping/offload data, alternative disposition rates.",high,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for ambulance_kpi_salience, and does stakeholder evidence support its direction of effect?"
hospital_political_penalty,0.65,0.9,0.77,Relative political/managerial penalty attached to visible hospital failure compared with upstream access failure.,"Budget papers, media analysis, ministerial targets, escalation processes, deficit responses.",medium,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for hospital_political_penalty, and does stakeholder evidence support its direction of effect?"
data_observability,0.25,0.85,0.52,"Ability to observe unmet need, appointment access, ambulance pathways, ED demand and avoidable hospitalisation linkages.","NPCD, ED data, ambulance data, linked datasets, data completeness and timeliness measures.",critical,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for data_observability, and does stakeholder evidence support its direction of effect?"
copayment_level,0.35,0.65,0.53,Patient price signal and private contribution to primary care utilisation.,"Practice fee schedules, patient-reported unmet need due to cost, CSC/VLCA/age-group fee rules.",critical,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for copayment_level, and does stakeholder evidence support its direction of effect?"
copayment_protections,0.3,0.8,0.5,"Extent of fee caps, zero-fee groups, concessions and targeted protections for high-need patients.","Fee cap rules, concession eligibility, patient utilisation by income/deprivation/ethnicity/rurality.",critical,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for copayment_protections, and does stakeholder evidence support its direction of effect?"
equity_program_strength,0.4,0.85,0.64,"Strength of kaupapa Maori, Pacific, outreach, locality, trust and navigation functions.","Programme funding, workforce, provider networks, access indicators by ethnicity/deprivation.",critical,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for equity_program_strength, and does stakeholder evidence support its direction of effect?"
telehealth_scale,0.55,0.9,0.68,Extent of telehealth capacity and availability.,"Telehealth volumes, provider type, substitution patterns, rural uptake, continuity outcomes.",medium,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for telehealth_scale, and does stakeholder evidence support its direction of effect?"
telehealth_integration,0.3,0.8,0.48,"Integration of telehealth with local records, local teams, follow-up and in-person escalation.","Referral pathways, shared records, continuity metrics, complaints/adverse events.",high,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for telehealth_integration, and does stakeholder evidence support its direction of effect?"
local_inperson_loading,0.2,0.8,0.41,"Payment support for local, rural and in-person capacity that telehealth cannot replace.","Rural payment loadings, service viability, travel time, procedural and examination-dependent care data.",high,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for local_inperson_loading, and does stakeholder evidence support its direction of effect?"
ambulance_alternative_funding,0.25,0.75,0.48,"Funding for hear-and-treat, treat-and-refer, non-conveyance and alternative destination pathways.","Ambulance disposition data, clinical safety outcomes, reimbursement rules, ED avoidance estimates.",high,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for ambulance_alternative_funding, and does stakeholder evidence support its direction of effect?"
acc_activity_funding,0.65,0.7,0.66,Extent to which ACC activity payments stabilise practice revenue and marginal supply.,"ACC claim volumes, payments by provider/practice, injury/non-injury revenue mix.",high,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for acc_activity_funding, and does stakeholder evidence support its direction of effect?"
acc_constraint,0.0,0.1,0.06,Policy or pricing constraint on ACC fee-for-service/activity payments.,"ACC schedule changes, utilisation caps, provider response, cross-sector flow effects.",medium,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for acc_constraint, and does stakeholder evidence support its direction of effect?"
budget_tightness,0.55,0.85,0.716,"Constraint imposed by fixed envelopes, baselines, deficits and reprioritisation pressure.","Vote Health, HNZ baselines, deficit papers, primary/community vs hospital expenditure trend.",high,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for budget_tightness, and does stakeholder evidence support its direction of effect?"
safety_governance,0.4,0.9,0.7,"Clinical governance, credentialing, prescribing rules and audit that make scope-enabled claiming safe.","Regulatory requirements, clinical governance models, adverse event reporting, audit mechanisms.",critical,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for safety_governance, and does stakeholder evidence support its direction of effect?"
gaming_controls,0.25,0.85,0.59,"Audit, data, coding rules and balancing measures that reduce low-value activity or target gaming.","Claims audit data, coding rules, utilisation outliers, anti-fraud controls, quality indicators.",critical,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for gaming_controls, and does stakeholder evidence support its direction of effect?"
direct_claiming,0.0,0.95,0.53,Ability for accredited providers to claim directly through a national payment platform.,"Payment-platform specifications, credentialing rules, claims-processing costs, provider onboarding data.",high,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for direct_claiming, and does stakeholder evidence support its direction of effect?"
stakeholder_alignment,0.25,0.75,0.45,"Degree of coalition support across providers, PHOs, Maori/Pacific providers, ambulance, HNZ, ACC and Treasury.","Stakeholder interviews, submissions, workshop outputs, governance positions.",medium,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for stakeholder_alignment, and does stakeholder evidence support its direction of effect?"
narrative_coherence,0.2,0.85,0.46,Clarity of reform framing as access/hospital-avoidance architecture rather than pro-market or sector-income claim.,"Political discourse analysis, stakeholder feedback, public communication testing.",medium,not calibrated; demonstrative prior only,"What empirical range and central tendency should be used for narrative_coherence, and does stakeholder evidence support its direction of effect?"
