parameter_id,name,domain,description,unit,current_value,lower_bound,upper_bound,source_status,source_or_basis,real_data_needed,estimation_strategy,priority,tier,tier_rationale
D01,base_need_per_1000,demand,"Underlying monthly primary-care-relevant need per 1,000 population before access constraints.",contacts/1000/month,62.0,35.0,100.0,placeholder prior,Needs NPCD/NZ Health Survey/encounter data,"Monthly encounters, unmet need, population denominators",Estimate from encounter data plus unmet-need surveys by locality,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
D02,urgent_need_share,demand,Share of primary-care-relevant need that is urgent/same-day or after-hours sensitive.,proportion,0.28,0.1,0.5,placeholder prior,Needs urgent-care/appointment data,"Booking urgency, after-hours encounters, ED substitutable care",Multinomial demand model by urgency and patient group,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
D03,routine_need_share,demand,Share of need that is routine or planned rather than urgent.,proportion,0.42,0.25,0.7,derived prior,Complements urgent/chronic shares,Appointment type and reason-for-visit coding,Estimate from appointment/encounter coding,medium,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
D04,chronic_need_index,demand,Relative chronic and multimorbidity demand load.,0-1 index,0.55,0.1,0.95,source-informed prior,Capitation reweighting identifies multimorbidity as relevant,"Multimorbidity counts, LTC registers, medication/diagnosis proxies",Hierarchical need model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
D05,rurality_demand_modifier,demand/equity,Additional access load or complexity caused by rurality and travel constraints.,0-1 index,0.45,0.05,0.95,source-informed prior,Rurality included in reweighting,"Rurality classification, travel time, provider proximity",Geospatial access model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
D06,deprivation_demand_modifier,demand/equity,Additional need/access burden related to socioeconomic deprivation.,0-1 index,0.55,0.05,0.95,source-informed prior,Deprivation included in reweighting,"NZDep, unmet need, ED and admission outcomes",Stratified demand and outcome model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
D07,multimorbidity_demand_modifier,demand/equity,Extra contact intensity required for multimorbidity beyond average need.,0-1 index,0.55,0.05,0.95,source-informed prior,Multimorbidity included in reweighting,"Condition counts, polypharmacy, hospital risk",Regression/latent risk model,high,Tier 2 — extended policy lever,"Important for design, distribution, or implementation, but not alone decisive for the central claim."
D08,price_elasticity_general,demand/price,How strongly general patients reduce primary care use when co-payments increase.,elasticity index,0.24,0.01,0.8,placeholder prior,Needs fee/utilisation variation,"Practice fees, CSC/VLCA status, utilisation changes",Discrete-choice or panel utilisation model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
D09,price_elasticity_high_need,demand/equity,How strongly high-need groups reduce or delay care when co-payments increase.,elasticity index,0.34,0.01,0.9,placeholder prior,NZ Health Survey reports cost barriers by group,Fees and utilisation by ethnicity/deprivation/rurality/morbidity,Stratified elasticity model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
D10,telehealth_acceptability,demand/digital,Share of demand that can realistically be met by telehealth without undermining care quality.,0-1 index,0.42,0.05,0.9,placeholder prior,Needs digital primary care data,"Mode of consultation, outcome, re-presentation",Substitution/complementarity model,medium,Tier 3 — exploratory/risk/implementation,"Useful for political economy, narrative, risk, or implementation analysis; should not drive headline conclusions without validation."
D11,unmet_need_persistence,demand dynamics,Persistence of unmet need from one month to the next.,0-1 index,0.68,0.1,0.95,placeholder prior,Needs longitudinal access data,"Delayed care, repeat attempts, ED conversion",Dynamic panel/hazard model,high,Tier 1 — core load-bearing,Directly affects the main thesis: whether upstream primary/urgent/ambulance supply expands safely or pressure shifts to hospitals.
