anchor_id,metric,public_value,unit,source_title,source_url,calibration_use,anchor_family,source_year,calibration_priority,calibration_weight,notes
population_2026,NZ estimated resident population,5361300,people,Estimated population of NZ,https://www.stats.govt.nz/indicators/population-of-nz/,Population scale anchor,population,2026,100,1.00,31 March 2026 estimate
gp_cost_barrier_adults_2024_25,Adults not visiting GP due to cost,0.149,proportion,Annual Update of Key Results 2024/25: New Zealand Health Survey,https://www.health.govt.nz/publications/annual-update-of-key-results-202425-new-zealand-health-survey,Access barrier anchor,gp,2025,95,1.00,Total adults
gp_wait_barrier_adults_2024_25,Adults saying appointment wait was too long,0.255,proportion,Annual Update of Key Results 2024/25: New Zealand Health Survey,https://www.health.govt.nz/publications/annual-update-of-key-results-202425-new-zealand-health-survey,Access delay anchor,gp,2025,90,0.95,Total adults
gp_cost_barrier_pacific_adults_2024_25,Pacific adults not visiting GP due to cost,0.251,proportion,Annual Update of Key Results 2024/25: New Zealand Health Survey,https://www.health.govt.nz/publications/annual-update-of-key-results-202425-new-zealand-health-survey,Equity barrier anchor,gp,2025,95,1.00,Pacific adults
gp_cost_barrier_maori_adults_2024_25,Māori adults not visiting GP due to cost,0.187,proportion,Annual Update of Key Results 2024/25: New Zealand Health Survey,https://www.health.govt.nz/publications/annual-update-of-key-results-202425-new-zealand-health-survey,Equity barrier anchor,gp,2025,95,1.00,Māori adults
gp_wait_barrier_disabled_adults_2024_25,Disabled adults waiting too long for GP,0.321,proportion,Health and Independence Report 2024,https://www.health.govt.nz/publications/health-and-independence-report-2024-online-version,Equity pressure anchor,gp,2024,95,1.00,Disabled adults
gp_cost_barrier_disabled_adults_2024_25,Disabled adults not visiting GP due to cost,0.223,proportion,Health and Independence Report 2024,https://www.health.govt.nz/publications/health-and-independence-report-2024-online-version,Equity pressure anchor,gp,2024,95,1.00,Disabled adults
ed_within_6h_2024_25,Q4 national ED six-hour performance,0.739,proportion,Continued strong progress against all health targets,https://www.tewhatuora.govt.nz/corporate-information/news-and-updates/continued-strong-progress-against-all-health-targets,Hospital pressure anchor,ed,2025,100,0.95,National Q4 2024/25 result
ed_target_2030,NZ ED six-hour target,0.95,proportion,Health targets,https://www.tewhatuora.govt.nz/corporate-information/planning-and-performance/health-targets/health-targets,Hospital target anchor,ed,2030,100,1.00,Target benchmark
acc_new_claims_2024_25,ACC new injury claims,2100000,claims,Annual Report 2025 ACC increases focus on ensuring Scheme sustainability for future generations,https://www.acc.co.nz/newsroom/search?Search=2024,ACC activity anchor,acc,2025,80,0.75,2024/25 claim volume
acc_treatment_rehab_spend_2024_25,ACC treatment and rehabilitation spend,5000000000,nzd,Annual Report 2025 ACC increases focus on ensuring Scheme sustainability for future generations,https://www.acc.co.nz/newsroom/search?Search=2024,ACC funding anchor,acc,2025,80,0.75,2024/25 spend
capitation_sample_patients_2025,Patients in capitation reweighting analysis,2000000,patients,Capitation reweighting,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,Calibration sample anchor,capitation,2025,70,0.70,Sample across 18 PHOs
capitation_sample_phos_2025,PHOs in capitation reweighting analysis,18,PHOs,Capitation reweighting,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,Calibration sample anchor,capitation,2025,70,0.70,Analysis basis
