game_id,game_name,scenario_id,scenario_name,access_score,provider_viability,equity_score,fiscal_control,hospital_pressure,gaming_risk,system_welfare,equilibrium_label,mechanism_summary
G1,Hospital-salience budget game,S0,Status quo tight control,28.2,25.68,57.67,79.0,81.29,20.06,38.43,hospital-rescue equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,S0,Status quo tight control,28.65,14.75,51.29,82.5,70.71,30.21,35.47,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,S0,Status quo tight control,22.14,22.12,50.14,89.79,80.92,10.56,38.14,marginal-rationing equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,S0,Status quo tight control,32.42,40.59,56.88,79.34,82.14,20.97,41.9,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,S0,Status quo tight control,8.96,21.44,54.06,77.4,86.25,27.0,29.26,intermediated-gatekeeping equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,S0,Status quo tight control,31.85,37.36,58.75,64.38,75.99,26.9,38.68,siloed-cost-shifting equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,S0,Status quo tight control,35.35,46.08,56.97,68.59,87.89,17.94,41.54,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,S0,Status quo tight control,30.55,39.23,58.7,77.85,86.12,16.1,41.59,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,S0,Status quo tight control,42.08,34.41,55.62,77.9,75.97,28.35,42.5,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,S0,Status quo tight control,48.76,51.5,60.24,75.62,66.56,10.63,52.56,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,S0,Status quo tight control,32.91,39.2,62.61,75.9,76.72,13.03,44.62,hospital-target dominance,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,S0,Status quo tight control,41.25,46.19,53.88,74.4,65.25,21.0,46.19,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,S0,Status quo tight control,39.25,43.35,61.75,74.2,69.22,16.81,47.02,institutional-defence equilibrium,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,S0,Status quo tight control,26.69,36.44,61.2,70.35,88.39,41.5,34.31,hidden-unmet-need equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,S1,Capitation reweighting only,34.4,30.45,65.05,79.8,71.1,18.7,44.47,hospital-rescue equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
