game_id,game_name,scenario_id,scenario_name,access_score,provider_viability,equity_score,fiscal_control,hospital_pressure,gaming_risk,system_welfare,equilibrium_label,mechanism_summary,draw,marginal_contact_benefit,capitation_weighting,scope_flexibility,pho_transaction_cost,primary_kpi_salience,ambulance_kpi_salience,hospital_political_penalty,data_observability,copayment_level,copayment_protections,equity_program_strength,telehealth_scale,telehealth_integration,local_inperson_loading,ambulance_alternative_funding,acc_activity_funding,acc_constraint,budget_tightness,safety_governance,gaming_controls,direct_claiming,stakeholder_alignment,narrative_coherence
G7,Ambulance conveyance game,S4,"Loose benefits, weak controls",52.78,50.98,58.37,69.54,74.72,21.91,48.91,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",858,0.749,0.584,0.892,0.0,0.7,0.812,0.608,0.523,0.544,0.242,0.473,0.811,0.272,0.129,0.567,0.551,0.029,0.689,0.39,0.122,1.0,0.367,0.319
G11,KPI salience game,S1,Capitation reweighting only,47.03,49.66,72.43,75.37,65.11,18.53,53.16,hospital-target dominance,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures.",456,0.277,0.805,0.224,0.578,0.4,0.342,0.98,0.456,0.636,0.344,0.771,0.562,0.514,0.279,0.184,0.689,0.125,0.612,0.821,0.522,0.035,0.406,0.423
G6,ACC/Health NZ cross-funder game,S4,"Loose benefits, weak controls",58.32,68.78,59.89,57.94,53.68,27.65,53.82,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,623,0.936,0.561,0.808,0.075,0.763,0.692,0.697,0.512,0.636,0.395,0.442,0.915,0.266,0.263,0.641,0.62,0.086,0.758,0.417,0.27,0.888,0.17,0.38
G9,Telehealth/local-supply game,S2,Primary Care Benefits Schedule,68.38,59.39,73.24,76.18,52.56,22.04,62.34,integrated hybrid-access equilibrium,Telehealth improves simple access but must be integrated and paired with local in-person capacity.,729,0.747,0.857,0.608,0.165,0.584,0.374,0.789,0.483,0.448,0.497,0.546,0.718,0.675,0.636,0.429,0.648,0.061,0.654,0.814,0.679,0.77,0.627,0.69
G7,Ambulance conveyance game,S1,Capitation reweighting only,36.96,46.8,60.63,70.17,87.23,17.25,43.42,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",804,0.072,0.708,0.507,0.667,0.23,0.137,0.893,0.444,0.592,0.466,0.679,0.59,0.419,0.291,0.289,0.684,0.044,0.849,0.582,0.691,0.214,0.4,0.413
G6,ACC/Health NZ cross-funder game,S3,Full upstream access architecture,62.52,74.1,74.35,62.39,48.23,18.67,62.32,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,18,0.904,0.864,0.913,0.248,0.919,0.77,0.537,0.849,0.23,0.752,0.729,0.913,0.761,0.721,0.673,0.674,0.06,0.426,0.879,0.737,0.827,0.715,1.0
G1,Hospital-salience budget game,S2,Primary Care Benefits Schedule,57.22,52.35,67.67,64.97,47.24,21.76,55.5,upstream-salience equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient.",773,0.678,0.833,0.626,0.233,0.556,0.486,0.748,0.52,0.633,0.575,0.635,0.705,0.499,0.489,0.357,0.62,0.0,0.552,0.71,0.707,0.789,0.445,0.517
G10,Co-payment calibration game,S3,Full upstream access architecture,83.95,63.03,89.73,54.85,35.8,15.53,70.66,calibrated co-payment equilibrium,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,647,0.792,0.689,0.831,0.257,0.657,0.683,0.705,1.0,0.364,0.888,0.756,0.629,0.765,0.736,0.84,0.727,0.07,0.494,0.755,0.797,0.73,0.747,0.969
G8,Scope-of-practice supply game,S0,Status quo tight control,28.01,37.01,64.48,77.6,88.84,16.12,41.32,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone.",890,0.0,0.351,0.215,0.625,0.151,0.105,0.89,0.127,0.61,0.453,0.826,0.524,0.21,0.134,0.207,0.635,0.111,0.821,0.664,0.549,0.0,0.172,0.216
G9,Telehealth/local-supply game,S1,Capitation reweighting only,50.95,37.57,59.17,77.81,71.18,28.89,46.89,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.,33,0.233,0.834,0.289,0.547,0.307,0.26,0.892,0.555,0.49,0.49,0.702,0.671,0.274,0.375,0.172,0.711,0.299,0.716,0.556,0.619,0.102,0.397,0.329
