option_id,criterion_id,raw_score_minus2_to_plus2,confidence_0_to_1,rationale
O0,C1,-1.2,0.85,Constrained marginal supply and market entry.
O0,C2,-1.2,0.8,Unmet need remains channelled into hospitals.
O0,C3,-0.8,0.7,"Equity barriers persist through waiting, co-payment and access friction."
O0,C4,-0.8,0.7,Rural local supply remains fragile.
O0,C5,0.4,0.6,"Short-term fiscal containment, but downstream hospital risk."
O0,C6,0.5,0.75,"Low direct claiming risk, but hidden under-service risk."
O0,C7,-0.8,0.65,PHO/intermediated pathways remain complex.
O0,C8,0.1,0.6,Existing governance familiar but incomplete for upstream outcomes.
O0,C9,0.7,0.7,Politically familiar.
O0,C10,-0.5,0.65,Upstream unmet need remains poorly visible.
O1,C1,-0.1,0.8,Better allocation but weak marginal supply signal.
O1,C2,-0.2,0.75,Some access improvement but hospital-pressure mechanism remains.
O1,C3,0.6,0.8,Better need weighting.
O1,C4,0.2,0.65,Rurality weighting helps but does not guarantee local capacity.
O1,C5,0.2,0.7,Contained and predictable.
O1,C6,0.4,0.75,Low activity gaming risk.
O1,C7,-0.1,0.65,Administrative structure mostly unchanged.
O1,C8,0.2,0.65,Familiar governance.
O1,C9,0.3,0.7,Politically safer than structural reform.
O1,C10,0.2,0.65,Some measurement improvement only.
O2,C1,0.0,0.75,Target may increase attention but not necessarily capacity.
O2,C2,0.1,0.7,Potential deflection if target influences funding.
O2,C3,0.6,0.75,Better allocation and visibility.
O2,C4,0.2,0.6,May not protect in-person rural supply.
O2,C5,0.1,0.65,Target can create pressure without matched funding.
O2,C6,0.4,0.7,Low activity gaming risk.
O2,C7,0.0,0.6,Market entry mostly unchanged.
O2,C8,0.3,0.65,Accountability improves.
O2,C9,0.4,0.7,Politically feasible.
O2,C10,0.6,0.75,Access target and dataset improve observability.
O3,C1,1.45,0.7,Adds marginal payment for defined contacts.
O3,C2,1.1,0.65,More upstream activity may reduce avoidable hospital flow.
O3,C3,0.4,0.55,Equity depends on co-payment design.
O3,C4,0.6,0.55,Can include rural/in-person loadings.
O3,C5,-0.2,0.5,Demand-driven exposure needs fiscal controls.
O3,C6,-0.1,0.5,Gaming risk manageable if contact types are defined.
O3,C7,0.8,0.65,Direct benefits improve portability.
O3,C8,0.4,0.55,Needs scope and audit framework.
