calibration_target,parameter_id,parameter,domain,priority,real_data_needed,estimation_strategy
marginal supply response,F03,scheduled_medical_benefit_strength,funding/FFS,high,"Item schedule, contact categories and public contribution",Policy schedule + claims modelling
marginal supply response,F04,scheduled_benefit_price_adequacy,funding/FFS,high,"Consult costs, provider time, overhead, co-payment",Costing and provider supply model
marginal supply response,F05,activity_signal_strength,funding/FFS,high,Marginal payment by contact type,Payment elasticity model
marginal supply response,S10,market_entry_response,supply dynamics,medium,"New practices, new PHOs, direct claim onboarding",Entry/expansion model
marginal supply response,S12,rural_loading_response,rural/supply,high,Rural payment changes and sessions/appointments,Difference-in-differences/pilot evaluation
price/demand response,D08,price_elasticity_general,demand/price,high,"Practice fees, CSC/VLCA status, utilisation changes",Discrete-choice or panel utilisation model
price/demand response,D09,price_elasticity_high_need,demand/equity,high,Fees and utilisation by ethnicity/deprivation/rurality/morbidity,Stratified elasticity model
price/demand response,F06,patient_copayment_level,funding/price,high,Practice fee schedules and patient payment data,Price elasticity model
price/demand response,F07,copayment_protection_strength,equity/price,high,"Eligibility, fees, utilisation by group",Equity-weighted price model
unmet need to ED/hospital,D11,unmet_need_persistence,demand dynamics,high,"Delayed care, repeat attempts, ED conversion",Dynamic panel/hazard model
unmet need to ED/hospital,D12,delay_complexity_growth,demand dynamics,high,Waiting time to ED/admission/acuity,Hazard/competing risk model
unmet need to ED/hospital,H02,ed_conversion_rate,hospital,high,Unmet care/waiting time to ED,Hazard/transition model
unmet need to ED/hospital,H03,admission_conversion_rate,hospital,high,"ED disposition, admissions, diagnosis",Transition model
ambulance alternatives,S05,paramedic_alt_capacity_index,supply/ambulance,high,"Paramedic workforce, alternative pathway activity",Ambulance pathway capacity model
ambulance alternatives,H04,ambulance_conveyance_default,ambulance,high,"Conveyance, treat-and-refer, destination",Multinomial disposition model
ambulance alternatives,H05,ambulance_deflection_rate,ambulance,high,"Non-conveyance safety, re-presentation",Pathway evaluation
ambulance alternatives,G05,data_observability_ambulance,data,high,Ambulance event/disposition data,Data linkage model
ambulance alternatives,G08,ambulance_kpi_salience,accountability,medium,KPIs and governance escalation,KPI salience evaluation
ACC stabilisation,F08,acc_activity_strength,ACC/funding,high,ACC claims/payments by provider/practice,Cross-funder revenue model
ACC stabilisation,F09,acc_constraint_intensity,ACC/funding,medium,"Pricing changes, contract changes, claim acceptance",Policy-shock model
PHO/direct claiming,F10,pho_transaction_cost,PHO/admin,high,"PHO financials, pass-through, onboarding delay",Transaction-cost analysis
PHO/direct claiming,F11,direct_claiming_strength,admin/payment,high,"Claims infrastructure, processing cost, provider uptake",Administrative cost-effectiveness model
scope-enabled supply,S02,nurse_np_capacity_index,supply,high,NP/nurse FTE and scope of activity,Workforce/scope supply model
scope-enabled supply,S03,pharmacist_capacity_index,supply/scope,medium,"Pharmacy locations, FTE, prescribing services",Scope-enabled supply model
scope-enabled supply,S04,allied_health_capacity_index,supply/scope,medium,"Physio, psychology, counselling, other FTE/activity",Scope-enabled supply model
scope-enabled supply,S08,scope_substitution_rate,supply/scope,high,"Contact type, provider type, safety outcomes",Classification + safety validation
scope-enabled supply,G01,safety_governance,governance,high,Credentialing/audit/adverse events,Safety governance evaluation
place/equity/cherry-picking,F12,place_based_accountability_strength,commissioning,high,"Locality responsibility, outreach, hard-to-reach service targets",Commissioning/accountability model
place/equity/cherry-picking,G10,equity_program_strength,equity,high,"Programme funding, uptake, outcomes",Equity impact evaluation
place/equity/cherry-picking,G11,te_tiriti_governance_strength,equity/governance,high,"Governance terms, data sovereignty processes",Qualitative/governance assessment
place/equity/cherry-picking,R01,cherry_picking_risk,risk,high,"Patient mix, complexity, outreach, non-attenders",Equity/selection model
place/equity/cherry-picking,R05,cream_skimming_penalty,risk/equity,high,"Patient mix, enrolment/open books, complexity",Selection/equity analysis
audit/gaming/fiscal leakage,F15,item_rules_strength,fiscal/governance,high,Item schedule rules and audit results,Claims audit/rule evaluation
audit/gaming/fiscal leakage,G02,gaming_controls,governance,high,"Claims patterns, outliers, re-presentations",Outlier/fraud/waste model
audit/gaming/fiscal leakage,G03,audit_intensity,governance,medium,"Audit rates, recovery, quality flags",Audit-effect model
audit/gaming/fiscal leakage,R02,low_value_activity_risk,risk,high,"Claims outliers, coding, outcomes",Audit/utilisation model
audit/gaming/fiscal leakage,R03,fiscal_leakage_risk,risk,high,"Public spend, outcomes, claim patterns",Value-for-money model
audit/gaming/fiscal leakage,R04,provider_moral_hazard_risk,risk,medium,Billing patterns and audit outcomes,Anomaly detection
