option_id,option,mapped_scenario,description,implementation_risk,equity_risk_penalty,fiscal_gaming_penalty
O0,Status quo tight control,S0,Existing dominant capitation/PHO/contracting architecture with constrained upstream expansion.,1.5,1.5,1.0
O1,Capitation reweighting only,S1,Improve allocation of capitation without changing supply architecture.,1.3,0.7,0.8
O2,Capitation reweighting plus access target,S1+target,Add top-level access target to reweighted capitation.,1.5,0.7,1.4
O3,Primary Care Benefits Schedule,S2,"Defined contact-type benefits, demand-driven within rules, retaining capitation for continuity.",2.4,1.0,2.2
O4,Benefits schedule plus scope-enabled eligibility,S2+scope,"Allow eligible activity by GPs, NPs, pharmacists, allied health, paramedics and other accredited providers within scope.",3.0,1.2,2.6
O5,Full upstream access architecture,S3,"Benefits schedule plus scope governance, equity protections, direct/optional claiming, ambulance alternatives, PHO-function reform, data, KPIs and audit.",2.75,0.7,2.3
O6,Loose demand-driven benefits with weak controls,S4,"High activity funding with weak scope, audit, equity, data and co-payment controls.",4.5,4.0,3.8333333333333
O7,ACC/ambulance alternatives strengthened only,partial,"Strengthen ambulance alternatives and ACC/prehospital funding, without primary care architecture reform.",2.0,1.2,1.2
O8,PHO reform/direct claims only,partial,"Reduce PHO payment intermediation and allow direct rules-based claiming, without comprehensive benefits/scope reform.",2.9,1.5,2.3
O9,Hospital investment priority only,hospital,Prioritise hospital capacity and acute rescue while leaving upstream access constrained.,1.75,1.5,1.0
