game_id,game_name,scenario_id,scenario_name,access_score,provider_viability,equity_score,fiscal_control,hospital_pressure,gaming_risk,system_welfare,equilibrium_label,mechanism_summary,draw,marginal_contact_benefit,capitation_weighting,scope_flexibility,pho_transaction_cost,primary_kpi_salience,ambulance_kpi_salience,hospital_political_penalty,data_observability,copayment_level,copayment_protections,equity_program_strength,telehealth_scale,telehealth_integration,local_inperson_loading,ambulance_alternative_funding,acc_activity_funding,acc_constraint,budget_tightness,safety_governance,gaming_controls,direct_claiming,stakeholder_alignment,narrative_coherence
G7,Ambulance conveyance game,P4,Benefits without adequate controls,54.04,53.01,59.52,67.98,73.59,24.33,49.32,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",20,0.9933,0.7555,0.8733,0.146,0.7307,0.6807,0.8222,0.4785,0.627,0.3181,0.4119,0.9204,0.2332,0.3358,0.6752,0.6772,0.0,0.6973,0.3644,0.2019,0.9431,0.1605,0.2903
G11,KPI salience game,P4,Benefits without adequate controls,75.5,74.6,69.43,64.98,43.39,34.03,63.34,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures.",290,0.9902,0.6089,0.9388,0.1384,0.731,0.6467,0.8628,0.4706,0.4851,0.3143,0.3926,0.9099,0.4021,0.1835,0.6598,0.8418,0.0629,0.8053,0.3361,0.3217,0.9845,0.4109,0.3413
G9,Telehealth/local-supply game,P8,Direct claims and PHO intermediation reform only,52.34,41.55,61.53,80.6,66.2,21.18,51.1,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.,935,0.2476,0.3609,0.5077,0.0555,0.5133,0.4975,0.8666,0.5357,0.6449,0.4245,0.4906,0.6024,0.5621,0.2201,0.3139,0.6211,0.1298,0.9208,0.7773,0.798,0.7864,0.4763,0.428
G14,Data observability game,P1,Capitation reweighting plus access target,39.89,45.3,76.92,79.78,65.7,28.92,50.2,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes.",295,0.0961,0.7866,0.43,0.6237,0.6464,0.5003,0.9343,0.5849,0.5329,0.6224,0.7287,0.7664,0.344,0.2236,0.3617,0.6941,0.1955,0.8345,0.8642,0.6764,0.1471,0.5552,0.432
G10,Co-payment calibration game,P0,Current source-informed baseline,51.61,52.19,64.93,76.01,63.97,10.8,54.91,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,695,0.068,0.3265,0.3743,0.6705,0.4241,0.5393,0.857,0.3697,0.6617,0.455,0.6191,0.7877,0.4425,0.3215,0.3689,0.7134,0.1114,0.941,0.6407,0.5788,0.069,0.4253,0.2436
G1,Hospital-salience budget game,P3,Full upstream access architecture,70.0,63.17,82.02,68.38,30.33,13.87,68.58,upstream-salience equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient.",716,0.7898,0.8135,0.7542,0.1935,0.8695,0.8657,0.6626,0.8582,0.4353,0.7176,0.9606,0.6848,0.9286,0.8344,0.8178,0.7707,0.0,0.2786,0.962,0.9773,0.9612,0.7878,0.9693
G7,Ambulance conveyance game,P3,Full upstream access architecture,77.12,66.4,82.23,73.5,44.86,11.65,70.49,safe alternative-disposition equilibrium,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk.",951,0.7531,0.8032,0.7712,0.2576,0.8639,0.7271,0.6911,0.8347,0.3867,0.7846,0.9194,0.7705,0.8023,0.7962,0.8797,0.6885,0.1231,0.6139,1.0,0.8056,0.8573,0.644,0.8838
G8,Scope-of-practice supply game,P7,Scope-enabled provider supply only,63.02,63.95,73.04,78.65,51.67,12.58,63.88,scope-enabled supply equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone.",839,0.3761,0.3724,0.7317,0.3652,0.5093,0.5775,0.8902,0.6683,0.5574,0.6179,0.5314,0.6404,0.5765,0.3066,0.324,0.8142,0.072,0.8583,0.9245,0.7455,0.4475,0.446,0.4852
G5,PHO intermediation game,P7,Scope-enabled provider supply only,45.85,52.06,64.8,76.53,55.69,26.42,51.69,optional/direct-claiming equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.,92,0.4886,0.4705,0.9464,0.2922,0.4921,0.3813,0.8176,0.6856,0.5197,0.6445,0.6698,0.6686,0.4644,0.3,0.3575,0.649,0.1256,0.966,0.8499,0.5318,0.4962,0.3965,0.7034
G6,ACC/Health NZ cross-funder game,P1,Capitation reweighting plus access target,40.83,48.34,66.91,66.98,65.75,22.4,47.67,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,423,0.1019,0.7323,0.3583,0.5869,0.6105,0.3455,0.9913,0.6284,0.6975,0.509,0.6498,0.6936,0.4051,0.3175,0.4573,0.7686,0.0268,0.8641,0.8202,0.6098,0.0,0.5016,0.5065
G13,Political economy game,P4,Benefits without adequate controls,59.38,62.89,58.45,63.84,76.35,54.96,45.72,institutional-defence equilibrium,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.,304,0.8707,0.5479,0.8801,0.1024,0.6713,0.7287,0.6442,0.6418,0.5952,0.3034,0.3345,1.0,0.2911,0.3294,0.4344,0.7956,0.0,0.9507,0.3864,0.3152,0.9476,0.382,0.2205
G10,Co-payment calibration game,P4,Benefits without adequate controls,68.05,69.19,60.68,57.95,50.54,25.72,57.59,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,187,0.822,0.5901,0.8749,0.2337,0.6874,0.6537,0.7326,0.4278,0.612,0.3846,0.4169,0.8816,0.3234,0.3077,0.6654,0.6536,0.0,0.6656,0.3395,0.317,0.9587,0.2702,0.1967
G8,Scope-of-practice supply game,P7,Scope-enabled provider supply only,61.11,63.29,71.77,78.04,52.89,12.42,62.7,scope-enabled supply equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone.",475,0.3838,0.3765,0.7807,0.4523,0.542,0.4535,0.966,0.5931,0.564,0.4751,0.5676,0.604,0.5175,0.1469,0.335,0.736,0.1176,0.7999,0.836,0.7544,0.3107,0.5575,0.5738
G11,KPI salience game,P2,National Primary Care Benefits Schedule,66.58,65.54,77.23,75.57,47.05,15.66,65.63,upstream target salience with balancing measures,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures.",397,0.6833,0.8131,0.6612,0.2652,0.6867,0.5149,0.8896,0.6806,0.5689,0.7035,0.6011,0.6636,0.6829,0.7766,0.587,0.6566,0.0031,0.7239,0.7617,0.7599,0.84,0.5863,0.6971
G10,Co-payment calibration game,P8,Direct claims and PHO intermediation reform only,56.19,51.56,69.91,72.86,59.93,10.86,57.16,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.,33,0.1454,0.3948,0.3743,0.1576,0.3425,0.4466,0.837,0.3802,0.5489,0.4175,0.6749,0.6633,0.4376,0.2967,0.2448,0.6823,0.0085,0.7446,0.6803,0.7876,0.714,0.486,0.4152
G14,Data observability game,P3,Full upstream access architecture,83.24,77.67,88.94,79.77,31.92,17.5,77.6,observable upstream-flow equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes.",113,0.9501,0.8456,0.8617,0.1181,0.8656,0.8988,0.607,0.8246,0.3884,0.8611,0.8706,0.6618,0.9184,0.8093,0.7124,0.7642,0.133,0.4732,0.8792,0.8883,0.9932,0.8341,0.9787
G12,Equity and trust game,P7,Scope-enabled provider supply only,53.67,66.39,55.99,75.2,56.62,18.86,55.51,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure.",417,0.4007,0.3251,0.8589,0.3061,0.5075,0.4228,0.912,0.6226,0.6912,0.6356,0.5277,0.6938,0.3867,0.2169,0.3962,0.7096,0.0827,0.9411,0.9148,0.6226,0.5483,0.3748,0.5562
G13,Political economy game,P5,ACC activity constraint shock,40.26,44.33,63.31,75.44,69.41,18.06,47.79,institutional-defence equilibrium,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.,483,0.0915,0.3666,0.4511,0.5772,0.4053,0.5188,0.9937,0.4453,0.6031,0.7031,0.4479,0.7479,0.4413,0.098,0.1857,0.5439,0.7551,1.0,0.7308,0.5014,0.0181,0.369,0.12
G12,Equity and trust game,P2,National Primary Care Benefits Schedule,71.56,73.85,72.54,75.23,41.66,14.65,68.36,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure.",867,0.7219,0.7453,0.7613,0.3464,0.6747,0.5111,0.9282,0.7792,0.4171,0.5377,0.8292,0.725,0.5794,0.7193,0.503,0.6252,0.1318,0.7048,0.73,0.8317,0.8831,0.5064,0.8547
G6,ACC/Health NZ cross-funder game,P4,Benefits without adequate controls,59.43,70.11,58.9,55.82,53.1,30.04,53.42,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.,328,0.9211,0.5438,0.8963,0.1822,0.7159,0.698,0.8029,0.4461,0.5751,0.4454,0.3879,0.8718,0.4951,0.3427,0.6062,0.6936,0.0566,0.9103,0.4483,0.1248,0.8523,0.1981,0.4094
