scenario_id,scenario_name,description,base_need_per_1000,urgent_need_share,routine_need_share,chronic_need_index,rurality_demand_modifier,deprivation_demand_modifier,multimorbidity_demand_modifier,price_elasticity_general,price_elasticity_high_need,telehealth_acceptability,unmet_need_persistence,delay_complexity_growth,gp_capacity_index,nurse_np_capacity_index,pharmacist_capacity_index,allied_health_capacity_index,paramedic_alt_capacity_index,medical_productivity_per_fte,np_nurse_productivity_per_fte,scope_substitution_rate,workforce_exit_rate,market_entry_response,local_inperson_constraint,rural_loading_response,capitation_base_strength,capitation_weighting_adequacy,scheduled_medical_benefit_strength,scheduled_benefit_price_adequacy,activity_signal_strength,patient_copayment_level,copayment_protection_strength,acc_activity_strength,acc_constraint_intensity,pho_transaction_cost,direct_claiming_strength,place_based_accountability_strength,budget_tightness,global_cap_constraint,item_rules_strength,safety_governance,gaming_controls,audit_intensity,data_observability_primary,data_observability_ambulance,data_observability_hospital,primary_kpi_salience,ambulance_kpi_salience,hospital_salience,equity_program_strength,te_tiriti_governance_strength,consumer_trust,stakeholder_alignment,narrative_coherence,baseline_hospital_pressure,ed_conversion_rate,admission_conversion_rate,ambulance_conveyance_default,ambulance_deflection_rate,urgent_care_effectiveness,telehealth_substitution_rate,hospital_cost_per_event_index,primary_contact_cost_index,ambulance_event_cost_index,cherry_picking_risk,low_value_activity_risk,fiscal_leakage_risk,provider_moral_hazard_risk,cream_skimming_penalty,political_contestation,implementation_complexity
F0,Current reform pathway,"Capitation reweighting, access target, digital/urgent care and PHO accountability, without uncapped primary medical FFS.",62.0,0.28,0.42,0.55,0.45,0.55,0.55,0.24,0.34,0.42,0.68,0.22,0.48,0.42,0.36,0.36,0.28,0.56,0.48,0.3,0.12,0.22,0.68,0.24,0.7,0.72,0.12,0.1,0.2,0.58,0.44,0.55,0.12,0.52,0.12,0.42,0.76,0.7,0.5,0.66,0.54,0.42,0.62,0.48,0.6,0.62,0.45,0.88,0.46,0.42,0.5,0.36,0.55,0.72,0.32,0.18,0.72,0.22,0.58,0.42,0.82,0.28,0.46,0.58,0.45,0.42,0.38,0.5,0.58,0.6
F1,Capitation reweighting only,Formula improves allocation but marginal activity remains weakly funded.,62.0,0.28,0.42,0.55,0.45,0.55,0.55,0.24,0.34,0.42,0.68,0.22,0.48,0.42,0.36,0.36,0.28,0.56,0.48,0.3,0.12,0.22,0.68,0.24,0.7,0.78,0.1,0.1,0.22,0.58,0.44,0.55,0.12,0.52,0.12,0.42,0.76,0.78,0.42,0.66,0.54,0.42,0.5,0.48,0.6,0.42,0.45,0.88,0.46,0.42,0.5,0.36,0.46,0.72,0.32,0.18,0.72,0.22,0.42,0.42,0.82,0.28,0.46,0.58,0.45,0.42,0.38,0.5,0.58,0.6
F2,Uncapped scheduled medical FFS,"Eligible primary medical activity becomes demand-led through scheduled benefits, but place accountability remains weak.",62.0,0.28,0.42,0.55,0.45,0.55,0.55,0.24,0.34,0.42,0.68,0.22,0.48,0.42,0.36,0.36,0.28,0.56,0.48,0.3,0.12,0.22,0.68,0.24,0.7,0.38,0.78,0.72,0.78,0.58,0.44,0.55,0.12,0.52,0.72,0.38,0.76,0.15,0.7,0.66,0.66,0.62,0.44,0.48,0.6,0.42,0.45,0.88,0.46,0.42,0.5,0.36,0.46,0.72,0.32,0.18,0.72,0.22,0.42,0.42,0.82,0.28,0.46,0.64,0.45,0.5,0.38,0.5,0.58,0.6
F3,Uncapped medical FFS + place accountability,Demand-led eligible medical activity plus capitation and explicit place/population responsibility.,62.0,0.28,0.42,0.55,0.45,0.55,0.55,0.24,0.34,0.42,0.68,0.22,0.48,0.42,0.36,0.36,0.28,0.56,0.48,0.3,0.12,0.22,0.68,0.24,0.7,0.78,0.76,0.72,0.76,0.58,0.7,0.55,0.12,0.52,0.7,0.78,0.76,0.15,0.76,0.66,0.74,0.7,0.44,0.48,0.6,0.42,0.45,0.88,0.7,0.42,0.5,0.36,0.46,0.72,0.32,0.18,0.72,0.22,0.42,0.42,0.82,0.28,0.46,0.35,0.45,0.42,0.38,0.3,0.58,0.6
F4,Full hybrid upstream architecture,Capitation + uncapped scheduled primary medical FFS + place accountability + urgent/ambulance alternatives + scope-enabled supply + strong data/audit/KPIs.,62.0,0.28,0.42,0.55,0.45,0.55,0.55,0.24,0.34,0.42,0.68,0.22,0.58,0.66,0.58,0.54,0.62,0.56,0.48,0.62,0.12,0.22,0.35,0.62,0.7,0.82,0.78,0.74,0.78,0.58,0.76,0.55,0.12,0.52,0.76,0.82,0.76,0.1,0.42,0.86,0.82,0.78,0.85,0.78,0.82,0.82,0.76,0.88,0.78,0.76,0.5,0.68,0.72,0.72,0.32,0.18,0.45,0.65,0.72,0.42,0.82,0.28,0.46,0.26,0.28,0.28,0.38,0.5,0.58,0.72
F5,Uncapped weak-control model,"Activity becomes demand-led but controls, place accountability and equity protections are weak.",62.0,0.28,0.42,0.55,0.45,0.55,0.55,0.24,0.34,0.42,0.68,0.22,0.48,0.42,0.36,0.36,0.28,0.56,0.48,0.3,0.12,0.22,0.68,0.24,0.7,0.38,0.82,0.78,0.82,0.58,0.3,0.55,0.12,0.52,0.12,0.2,0.76,0.08,0.25,0.66,0.22,0.18,0.44,0.48,0.6,0.42,0.45,0.88,0.28,0.42,0.5,0.36,0.46,0.72,0.32,0.18,0.72,0.22,0.42,0.42,0.82,0.28,0.46,0.78,0.78,0.76,0.7,0.72,0.58,0.6
F6,ACC activity constraint shock,ACC activity payments are constrained without compensating Health NZ-funded upstream supply.,62.0,0.28,0.42,0.55,0.45,0.55,0.55,0.24,0.34,0.42,0.68,0.22,0.48,0.42,0.36,0.36,0.28,0.56,0.48,0.3,0.12,0.22,0.68,0.24,0.7,0.38,0.08,0.1,0.12,0.58,0.44,0.25,0.7,0.52,0.12,0.42,0.86,0.82,0.42,0.66,0.54,0.42,0.44,0.48,0.6,0.42,0.45,0.9,0.46,0.42,0.5,0.36,0.46,0.72,0.32,0.18,0.72,0.22,0.42,0.42,0.82,0.28,0.46,0.58,0.45,0.42,0.38,0.5,0.58,0.6
F7,Ambulance and urgent alternatives only,Urgent/ambulance alternatives are strengthened but the primary medical marginal payment signal remains weak.,62.0,0.28,0.42,0.55,0.45,0.55,0.55,0.24,0.34,0.42,0.68,0.22,0.48,0.42,0.36,0.36,0.28,0.56,0.48,0.3,0.12,0.22,0.68,0.24,0.7,0.38,0.12,0.1,0.2,0.58,0.44,0.55,0.12,0.52,0.12,0.42,0.76,0.74,0.42,0.66,0.54,0.42,0.44,0.76,0.6,0.42,0.72,0.88,0.46,0.42,0.5,0.36,0.46,0.72,0.32,0.18,0.72,0.72,0.74,0.42,0.82,0.28,0.46,0.58,0.45,0.42,0.38,0.5,0.58,0.6
F8,Scope-enabled supply only,"Broader providers can generate some activity, but payment architecture and place accountability are not fully reformed.",62.0,0.28,0.42,0.55,0.45,0.55,0.55,0.24,0.34,0.42,0.68,0.22,0.48,0.68,0.62,0.62,0.28,0.56,0.48,0.68,0.12,0.22,0.68,0.24,0.7,0.38,0.22,0.1,0.35,0.58,0.44,0.55,0.12,0.52,0.12,0.42,0.76,0.68,0.42,0.82,0.54,0.42,0.44,0.48,0.6,0.42,0.45,0.88,0.46,0.42,0.5,0.36,0.46,0.72,0.32,0.18,0.72,0.22,0.42,0.42,0.82,0.28,0.46,0.58,0.45,0.42,0.38,0.5,0.58,0.6
F9,Place-based commissioning only,"Population accountability and outreach improve, but marginal activity funding is not materially uncapped.",62.0,0.28,0.42,0.55,0.45,0.55,0.55,0.24,0.34,0.42,0.68,0.22,0.48,0.42,0.36,0.36,0.28,0.56,0.48,0.3,0.12,0.22,0.68,0.24,0.7,0.38,0.12,0.1,0.2,0.58,0.44,0.55,0.12,0.52,0.12,0.78,0.76,0.74,0.42,0.66,0.54,0.42,0.44,0.48,0.6,0.42,0.45,0.88,0.74,0.72,0.5,0.36,0.46,0.72,0.32,0.18,0.72,0.22,0.42,0.42,0.82,0.28,0.46,0.28,0.45,0.42,0.38,0.28,0.58,0.6
