Game,Type,Players,Status quo equilibrium risk,Policy lever,Data needed
Hospital-rescue budget allocation,Repeated budget/salience game,"Ministers; Treasury; Ministry; Health NZ; hospitals; primary/community/ambulance",Hospital rescue dominance,Top-tier primary and ambulance accountability plus contact benefits,"Vote Health flows; hospital deficits; ED/admission trends; primary/ambulance access data"
Capitation supply-rationing,Principal-agent and marginal-cost game,"Health NZ/PHO; providers; patients",Reweighting improves allocation but marginal supply remains weak,Capitation plus demand-driven contact benefits,"Capitation payments; appointment capacity; co-payments; closed books; FTE"
PHO intermediation,Transaction-cost and intermediation game,"Health NZ; PHOs; practices; new entrants",Useful support functions bundled with payment gatekeeping,Separate PHO functions from payment intermediation,"PHO financials; pass-through rules; provider entry timelines; admin burden"
Primary Care Benefits Schedule,Mechanism-design game,"Government; Health NZ; providers; patients; auditors",Open-ended activity risk if badly designed,Eligible contact types with scope/governance/audit controls,"Claim data; contact type; provider type; outcomes; audit flags"
Professional-scope/guild,Coalition and entry-barrier game,"Professional groups; regulators; providers; patients",GP bottleneck and underused pharmacists/NPs/allied health/paramedics,Scope-based provider eligibility,"Workforce by scope; referral/prescribing limits; safety outcomes"
Consumer co-payment/pathway,Price/congestion game,"Patients; providers; ED; ambulance; funders",Delay/ED fallback among price-sensitive patients,Co-payment calibration with caps/exemptions/equity weighting,"Patient charges; unmet need; ED pathway; deprivation/rurality"
Ambulance conveyance,Liability/queueing game,"Ambulance providers; paramedics; ED; Health NZ; ACC",Conveyance default,Funded hear-and-treat/treat-and-refer/alternative destination,"Conveyance; recontact; adverse events; offload delay; call type"
ACC primary-care spillover,Dual-funder externality game,"ACC; Health NZ; practices; Treasury; patients",ACC activity stabilises supply but is analysed in isolation,Whole-system modelling of ACC payment changes,"ACC volume; practice viability; non-injury appointments; supply changes"
Telehealth adverse selection,Adverse-selection/platform game,"Telehealth providers; local practices; patients; Health NZ",Low-complexity capture erodes local in-person viability,Integration and rural/in-person loadings,"Telehealth uptake; continuity; local practice capacity; rural supply"
KPI and target-gaming,Audit/signalling game,"Ministers; Health NZ; providers; public",Metric management without true capacity growth,Balanced scorecard with audit and patient-reported access,"Reported target; patient-reported access; continuity; co-payment; denominator definitions"
Equity and Te Tiriti,Distributional mechanism-design game,"Maori/iwi providers; Pacific providers; funders; mainstream providers; patients",Average access improves while inequity worsens,Equity-weighted benefits and low/zero co-payment priority contacts,"Access by ethnicity/deprivation/rurality; co-payment; outcomes; cultural safety"
Political-economy bargaining,Bargaining/rent-seeking game,"Parties; PHOs; colleges; unions; providers; patient groups; media",Incremental reweighting chosen over architecture reform,Non-partisan patient-access/system-design coalition,"Stakeholder positions; submissions; media framing; public opinion"
