file,words,external_links,local_links,has_figure,has_what_would_change_my_mind,has_appendix_link_or_note,status
docs/substack-ready/post-00-series-landing-page-v1.6.0.md,1134,4,18,False,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.6.0.md,1030,5,2,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.6.0.md,986,5,2,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.6.0.md,998,5,3,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-04-why-formulas-do-not-solve-games-v1.6.0.md,995,5,2,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.6.0.md,1020,5,2,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-06-what-i-mean-by-uncapping-primary-care-funding-v1.6.0.md,1004,5,3,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-07-the-hospital-salience-game-and-the-health-new-zealand-allocation-game-v1.6.0.md,1020,5,2,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-08-the-capitation-marginal-supply-game-and-the-consumer-access-game-v1.6.0.md,1008,5,3,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-09-primary-health-organisations-useful-functions-payment-friction-and-cherry-picking-v1.6.0.md,1006,5,2,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-10-accident-compensation-corporation-ambulance-and-urgent-care-the-hidden-upstream-system-v1.6.0.md,1000,5,2,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-11-who-should-be-allowed-to-generate-primary-care-supply-v1.6.0.md,1005,5,2,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-12-telehealth-is-an-extender-not-a-replacement-for-local-supply-v1.6.0.md,1028,5,2,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-13-co-payments-demand-signal-or-equity-failure-v1.6.0.md,1023,5,3,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-14-the-19-games-a-map-of-the-new-zealand-primary-care-funding-problem-v1.6.0.md,992,5,3,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-15-the-hybrid-game-why-no-single-lever-is-enough-v1.6.0.md,975,5,2,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-16-composite-modelling-what-the-demonstrative-model-adds-and-what-it-does-not-v1.6.0.md,1003,5,3,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-17-game-informed-multi-criteria-decision-analysis-making-disagreement-useful-v1.6.0.md,996,5,2,True,True,True,pass
docs/substack-ready/posts-v1.6.0-public/post-18-recommendations-a-primary-care-system-that-can-grow-before-hospitals-have-to-v1.6.0.md,1035,5,3,True,True,True,pass
