post,title,date,day,note
00,Series landing page,2026-05-10,Sunday,Orient readers before the first post
01,Are we buying hospital growth by rationing cheaper care upstream?,2026-05-12,Tuesday,Public post with optional appendix
02,"Fee-for-service, capitation and blended funding: the plain-English version",2026-05-15,Friday,Public post with optional appendix
03,Marginal supply: the tiny economic idea that decides whether appointments exist,2026-05-19,Tuesday,Public post with optional appendix
04,Why formulas do not solve games,2026-05-22,Friday,Public post with optional appendix
05,"The current reform pathway: stronger than a straw man, but maybe still incomplete",2026-05-26,Tuesday,Public post with optional appendix
06,What I mean by uncapping primary care funding,2026-05-29,Friday,Public post with optional appendix
07,The hospital salience game and the Health New Zealand allocation game,2026-06-09,Tuesday,Public post with optional appendix
08,The capitation marginal-supply game and the consumer access game,2026-06-12,Friday,Public post with optional appendix
09,"Primary Health Organisations: useful functions, payment friction and cherry-picking",2026-06-16,Tuesday,Public post with optional appendix
10,"Accident Compensation Corporation, ambulance and urgent care: the hidden upstream system",2026-06-19,Friday,Public post with optional appendix
11,Who should be allowed to generate primary care supply?,2026-06-23,Tuesday,Public post with optional appendix
12,"Telehealth is an extender, not a replacement for local supply",2026-06-26,Friday,Public post with optional appendix
13,Co-payments: demand signal or equity failure?,2026-06-30,Tuesday,Public post with optional appendix
14,The 19 games: a map of the New Zealand primary care funding problem,2026-07-03,Friday,Public post with optional appendix
15,The hybrid game: why no single lever is enough,2026-07-07,Tuesday,Public post with optional appendix
16,"Composite modelling: what the demonstrative model adds, and what it does not",2026-07-10,Friday,Public post with optional appendix
17,Game-informed Multi-Criteria Decision Analysis: making disagreement useful,2026-07-14,Tuesday,Public post with optional appendix
18,Recommendations: a primary care system that can grow before hospitals have to,2026-07-17,Friday,Public post with optional appendix
