scenario_id,scenario_name,funding_architecture,weighted_access,weighted_provider_viability,weighted_equity,weighted_fiscal_control,weighted_hospital_pressure,weighted_gaming_risk,weighted_welfare,supply_generation_index,equity_legitimacy_index,governance_resilience_index,hospital_deflection_index,implementation_readiness_index,fiscal_gaming_risk_index,interaction_penalty,hybrid_viability_score,model_interpretation,draw,marginal_contact_benefit,capitation_weighting,scope_flexibility,pho_transaction_cost,primary_kpi_salience,ambulance_kpi_salience,hospital_political_penalty,data_observability,copayment_level,copayment_protections,equity_program_strength,telehealth_scale,telehealth_integration,local_inperson_loading,ambulance_alternative_funding,acc_activity_funding,acc_constraint,budget_tightness,safety_governance,gaming_controls,direct_claiming,stakeholder_alignment,narrative_coherence
P7,Scope-enabled provider supply only,unspecified architecture,50.41,50.13,66.88,75.71,62.34,20.46,53.07,41.25,48.22,62.63,37.94,56.22,18.17,11.94,36.49,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,725,0.3493,0.3012,0.8728,0.4007,0.5424,0.4267,0.9477,0.5544,0.6659,0.6663,0.6363,0.6764,0.3223,0.2276,0.3057,0.6383,0.1677,0.7873,0.7728,0.6831,0.5434,0.456,0.5688
P2,National Primary Care Benefits Schedule,unspecified architecture,66.65,63.92,76.51,69.63,48.72,20.51,63.02,60.9,60.98,63.52,51.32,64.76,19.22,6.56,53.32,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,481,0.6634,0.8861,0.8657,0.2201,0.7942,0.431,0.7988,0.5176,0.3645,0.6641,0.8289,0.7028,0.5541,0.6254,0.5389,0.7348,0.0359,0.6459,0.8353,0.7286,0.8519,0.6639,0.6585
P4,Benefits without adequate controls,unspecified architecture,67.1,65.58,59.6,63.21,51.6,32.3,56.05,63.58,43.05,46.61,50.32,41.08,38.33,13.16,37.15,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,369,0.855,0.6468,0.8991,0.0419,0.6694,0.6831,0.6546,0.4306,0.4754,0.3596,0.4896,0.9835,0.3528,0.1841,0.5111,0.6562,0.0,0.7902,0.485,0.338,0.977,0.2272,0.4742
P8,Direct claims and PHO intermediation reform only,unspecified architecture,45.81,46.41,61.33,77.91,66.76,19.38,49.86,35.69,43.15,63.96,34.21,54.05,18.46,11.17,34.14,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,517,0.2195,0.3524,0.3648,0.2196,0.3945,0.4657,0.7819,0.6026,0.649,0.3862,0.6072,0.6934,0.448,0.1346,0.2658,0.6917,0.1865,0.8451,0.7905,0.7213,0.9804,0.3888,0.5147
P7,Scope-enabled provider supply only,unspecified architecture,48.83,47.01,67.77,75.56,63.05,20.7,52.09,35.22,49.59,62.96,37.81,59.06,15.71,10.09,37.49,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,651,0.2474,0.3976,0.7056,0.4473,0.6597,0.5213,0.8606,0.568,0.4568,0.5914,0.6287,0.6731,0.5355,0.2484,0.2231,0.8187,0.0,0.8712,0.8642,0.5779,0.4638,0.4925,0.6154
P0,Current source-informed baseline,unspecified architecture,35.8,36.18,64.65,78.68,73.33,19.86,45.08,17.04,47.33,59.37,29.04,50.92,12.86,13.78,25.07,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,847,0.0,0.4383,0.2633,0.5375,0.2798,0.3957,0.8543,0.495,0.5577,0.5243,0.6418,0.7213,0.4662,0.266,0.3375,0.7237,0.1065,0.9148,0.7,0.5293,0.0882,0.44,0.3907
P7,Scope-enabled provider supply only,unspecified architecture,51.32,50.73,68.14,75.28,60.2,20.54,53.92,39.34,49.56,63.67,41.48,58.29,17.1,11.84,37.62,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,832,0.3637,0.3765,0.8729,0.338,0.5274,0.4445,0.8717,0.6167,0.6709,0.5478,0.7303,0.6833,0.3861,0.1764,0.4579,0.718,0.0252,0.9483,0.924,0.5825,0.3725,0.4284,0.5656
P3,Full upstream access architecture,unspecified architecture,78.01,73.46,82.56,71.3,35.66,14.54,72.45,72.37,65.69,73.99,68.18,78.73,8.89,2.86,68.57,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,676,0.8588,0.7689,0.869,0.1206,0.8319,0.8375,0.5924,0.8129,0.333,0.8753,0.8052,0.6716,0.9655,0.857,0.8983,0.8437,0.0,0.5259,1.0,0.9419,0.8669,0.8246,0.832
P8,Direct claims and PHO intermediation reform only,unspecified architecture,41.88,42.22,65.15,79.28,69.54,19.85,48.62,30.76,47.86,62.64,33.09,52.14,16.03,10.09,34.06,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,969,0.0,0.4504,0.3721,0.2427,0.472,0.45,0.8512,0.5515,0.6317,0.5348,0.6642,0.542,0.4837,0.2199,0.2909,0.8042,0.076,0.7588,0.8167,0.6489,0.9462,0.306,0.4738
P7,Scope-enabled provider supply only,unspecified architecture,45.98,45.58,67.01,78.69,64.93,18.84,51.51,33.98,49.49,66.01,36.1,59.8,14.49,12.43,35.21,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,986,0.1803,0.4731,0.8365,0.4281,0.4958,0.4519,0.9926,0.6459,0.5848,0.5852,0.6345,0.7027,0.3776,0.1364,0.2843,0.7529,0.0884,0.8105,0.8847,0.6779,0.4275,0.5199,0.5134
P2,National Primary Care Benefits Schedule,unspecified architecture,69.5,66.68,69.86,69.92,45.67,20.1,63.41,62.29,52.52,65.37,56.83,67.07,17.94,5.51,55.12,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,637,0.79,0.6561,0.7393,0.2722,0.7909,0.6004,0.8607,0.7489,0.4515,0.6422,0.5517,0.6285,0.5689,0.4875,0.6428,0.6162,0.1581,0.5851,0.855,0.653,0.8281,0.7053,0.6718
P4,Benefits without adequate controls,unspecified architecture,62.23,62.29,57.45,66.72,54.28,32.3,53.87,57.99,40.39,47.02,51.29,41.46,39.86,14.63,34.15,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,425,0.6965,0.6945,0.9765,0.125,0.6989,0.7123,0.6588,0.5819,0.6893,0.1983,0.5097,0.8378,0.2758,0.2217,0.6233,0.6703,0.0866,0.8484,0.4428,0.2409,0.8757,0.3452,0.2984
P6,Ambulance alternatives only,unspecified architecture,40.45,38.89,64.35,82.14,67.7,17.15,48.7,18.18,45.6,67.35,43.45,58.58,12.35,14.57,30.18,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,593,0.0436,0.364,0.3564,0.663,0.4345,0.7939,0.8989,0.529,0.6599,0.5816,0.5641,0.8351,0.4696,0.1747,0.8254,0.7016,0.0159,0.9554,0.7201,0.9095,0.0224,0.4845,0.6963
P1,Capitation reweighting plus access target,unspecified architecture,42.31,40.46,70.27,79.47,67.76,19.11,49.96,23.17,55.16,65.16,36.77,59.4,13.33,12.86,33.01,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,295,0.0961,0.7866,0.43,0.6237,0.6464,0.5003,0.9343,0.5849,0.5329,0.6224,0.7287,0.7664,0.344,0.2236,0.3617,0.6941,0.1955,0.8345,0.8642,0.6764,0.1471,0.5552,0.432
P8,Direct claims and PHO intermediation reform only,unspecified architecture,43.76,42.82,67.7,78.97,67.51,19.3,50.14,31.08,49.66,64.42,33.76,57.42,14.63,11.11,34.66,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,264,0.1081,0.2894,0.3242,0.1669,0.3589,0.4579,0.9061,0.698,0.5552,0.5415,0.7306,0.7414,0.4639,0.2481,0.2715,0.6717,0.1405,0.9206,0.8426,0.5987,0.8046,0.436,0.4842
