Source_ID,Type,Citation_Label,URL,Key_Use,Quality,Notes
S001,Official webpage,Ministry of Health capitation reweighting page,https://www.health.govt.nz/strategies-initiatives/programmes-and-initiatives/primary-and-community-health-care/capitation-reweighting,"Public description of capitation, 2002 introduction and proposed reweighting variables",High,Use for public-facing factual statements.
S002,Official briefing/PDF,H2024057558 Sapere report and re-weighting primary care capitation funding,https://www.health.govt.nz/system/files/2025-10/Briefing-Sapere-report-and-re-weighting-primary-care-capitation-funding-H2024057558.pdf,"Current model, significant predictors, technical-analysis limitation",High,Core source for allocation reform versus architecture reform.
S003,Official briefing/PDF,H2025069314 PHO finances,https://www.health.govt.nz/system/files/2025-11/H2025069314-Briefing-PHO-finances-a-summary-of-available-information.pdf,PHO transparency and monitoring limits,High,Does not prove PHOs create market-entry barriers; supports need for review.
S004,System review,Health and Disability System Review final report,https://www.health.govt.nz/system/files/2022-09/health-disability-system-review-final-report.pdf,"Tier 1 funding, PHO contracting, local networks, unmet need",High,Important precedent but differs from demand-driven benefits schedule.
S005,Official webpage/PDF,Health NZ National Primary Care Dataset,https://www.healthnz.govt.nz/about-us/what-we-do/planning-and-performance/primary-care-tactical-action-plan/national-primary-care-dataset-and-new-primary-care-health-target,80% within-seven-days access target and encounter/appointment data,High,Data definitions must be obtained for modelling.
S006,Official webpage,Health NZ Ambulance Team,https://www.healthnz.govt.nz/about-us/what-we-do/programmes-and-initiatives/the-ambulance-team,Ambulance commissioning and performance data,High,Need detailed contract/performance data for modelling.
S007,Official report,Australian Review of General Practice Incentives,https://www.health.gov.au/resources/publications/review-of-general-practice-incentives-expert-advisory-panel-report-to-the-australian-government?language=en,Australian blended funding and new funding architecture comparator,High,Use as comparator; not direct evidence for NZ effects.
S008,Reporting standard,PRISMA-ScR,https://www.prisma-statement.org/scoping,Scoping review/evidence map reporting,High,20 essential and 2 optional items.
S009,Reporting standard,STRESS,https://www.equator-network.org/reporting-guidelines/strengthening-the-reporting-of-empirical-simulation-studies-introducing-the-stress-guidelines/,"System dynamics, agent-based and DES simulation reporting",High,Use prospectively in simulation protocol.
S010,Reporting standard,ODD protocol,https://www.usgs.gov/publications/odd-protocol-describing-agent-based-and-other-simulation-models-a-second-update,Agent-based model description,High,Use for model replication and structural realism.
S011,Inquiry/report,Waitangi Tribunal Hauora report,https://s3.ap-southeast-2.amazonaws.com/nzdoctor.files/production/public/2019-07/Hauora-%20Report%20on%20Stage%20One%20of%20the%20Health%20Services%20and%20Outcomes%20Kaupapa%20Inquiry.pdf,"Equity, capitation formula understanding and unmet need context",High,Use carefully with Te Tiriti/equity expertise.
S012,Reporting standard,CHEERS 2022,https://www.ispor.org/heor-resources/good-practices/cheers,Economic evaluation reporting,High,Required only if proceeding to economic evaluation.
T001,Theory,Microeconomic provider payment theory,,"Marginal revenue/marginal cost, supply response, over/under-provision",Theory basis,Add textbook and peer-reviewed references in Zotero.
T002,Theory,Political salience and principal-agent theory,,"Hospital rescue equilibrium, KPI salience",Theory basis,Add political economy references.
T003,Theory,Cross-funder externality,,ACC/Health NZ game,Theory basis,Requires empirical validation.
T004,Theory/regulation,Scope-of-practice and regulatory bottleneck logic,,Provider eligibility by contact type,Theory basis,Requires profession-specific legal/regulatory review.
T005,Theory,Measurement and observability theory,,Upstream unmet need observability,Theory basis,Add references on performance measurement and target gaming.
T006,Theory,Moral hazard / utilisation management,,Fiscal risk under demand-driven benefits,Theory basis,Add insurance economics references.
R001,Review to complete,Provider payment evidence review,,Effects of FFS/capitation/blended funding,Pending,Populate through PRISMA-ScR review.
R002,Review to complete,Primary care access to ED/hospital pathway literature,,Pathway probabilities and hospital avoidance,Pending,Search ED/ASH/preventable hospitalisation literature.
R003,Review to complete,Co-payment and affordability literature,,Price elasticity/equity,Pending,Search NZ/Australia and international literature.
R004,Review to complete,Telehealth substitution/complementarity literature,,Rural/local supply and telehealth effects,Pending,Search direct-to-consumer and rural telehealth evidence.
