requirement_id,requirement,evidence,check_method,status,notes
CR-001,Repo managed with a Conductor-style system,conductor/product.md; conductor/workflow.md; conductor/tracks.md; conductor/tracks/*/spec.md,Manual file inspection,Pass,"Conductor context, workflow and 18 tracks are present; track index updated in v1.2.1."
CR-002,Documents are versioned as they improve,Versioned filenames throughout docs/ and outputs/; VERSION.md,Filename scan,Pass,Major deliverables have explicit v-numbered filenames; evergreen README and track index are intentionally unversioned but VERSION.md records release.
CR-003,Background and theory are laid out,docs/concepts/*.md; docs/final/final-comprehensive-report-v0.8.0.md,Artefact inspection,Pass,"Includes capitation, fee-for-service, blended funding, marginal supply, transaction costs, principal-agent logic and game-theory framing."
CR-004,Broader NZ policy games are mapped,docs/concepts/nz-policy-game-atlas-v0.4.0.md; docs/modelling/nz-policy-game-map-v0.4.0.md; docs/modelling/game-mapping-matrix-v0.4.0.csv,Artefact inspection,Pass,Fourteen component games are mapped.
CR-005,Each mapped game has demonstrative modelling,models/primarycare_model/demonstrative_games.py; docs/modelling/demonstrative-model-results-v0.6.0.csv; docs/audit/demonstrative-model-audit-matrix-v0.6.0.csv,Model artefact inspection,Pass,Fourteen game-specific demonstrative model functions and outputs are present.
CR-006,Uncertainty and sensitivity analysis is present,models/primarycare_model/uncertainty.py; docs/modelling/monte-carlo-scenario-summary-v0.7.0.csv; docs/figures/sensitivity-top-welfare-drivers-v0.7.0.png,Artefact inspection,Pass,Monte Carlo-style stress testing and sensitivity rankings are present.
CR-007,Final hybrid model and comprehensive report are present,models/primarycare_model/hybrid_model.py; docs/final/final-comprehensive-report-v0.8.0.md; outputs/final-comprehensive-report-v0.8.0.pdf,Artefact inspection,Pass,"Hybrid synthesis model, report, figures and executive brief are present."
CR-008,MCDA decision-support layer is present,docs/mcda/*.md; models/primarycare_model/mcda.py; outputs/mcda-workbook-v0.9.0.xlsx,Artefact inspection,Pass,"Game-position scoring, policy-option criteria, workbook and workshop guide are present."
CR-009,Source-informed parameterised model run is present,models/primarycare_model/parameterised_model.py; docs/parameters/parameter-input-register-v1.0.0.csv; outputs/parameterised-model-workbook-v1.0.0.xlsx,Artefact inspection,Pass,"Parameters, source-informed scenario inputs, rerun outputs, plots and workbook are present."
CR-010,Full empirical calibration is deferred and caveated,README.md; docs/validation/pragmatic-validation-plan-v1.1.0.md; outputs/validation-and-translation-report-v1.1.0.pdf,Text inspection,Pass,Package clearly states modelling is not fully empirically calibrated or predictive.
CR-011,Pragmatic validation path is present,docs/validation/*.csv; outputs/stakeholder-mcda-workshop-pack-v1.1.0.pdf; outputs/validation-workbook-v1.1.0.xlsx,Artefact inspection,Pass,"Stakeholder validation, OIA/data requests, review protocol and pilot/evaluation plan are present."
CR-012,Policy briefs are present,docs/policy-briefs/brief-*.md,File count,Pass,"Nine current brief topics are present, plus earlier versions."
CR-013,NZMJ material is present,docs/nzmj/*.md,File count,Pass,"Viewpoint, protocol/article skeleton, methods annex and cover letter template are present."
CR-014,Substack series has 12 full posts,docs/substack-ready/posts/post-*.md,File count,Pass,Twelve Substack-ready posts are present.
CR-015,Substack posts are humanized and readable for a motivated 14-year-old,docs/substack-ready/substack-post-qa-checklist-v1.2.1.csv; docs/substack-ready/voice-and-style-guide-v1.2.0.md,Automated readability + manual spot check,Pass with final author review,All posts are 902–1304 words and <=16 average words/sentence; final Dylan voice/risk edit still required.
CR-016,Substack posts are comprehensively hyperlinked,docs/substack-ready/substack-post-qa-checklist-v1.2.1.csv; docs/substack-ready/source-bank-v1.2.0.md,Automated link count,Pass,Each post has at least five unique external source links.
CR-017,Abbreviations are spelled out or handled appropriately,docs/substack-ready/plain-english-glossary-v1.2.0.md; docs/substack-ready/substack-post-qa-checklist-v1.2.1.csv,Acronym scan,Pass with caveat,Running text uses expanded terms; remaining acronym flags mostly occur in source titles or after prior expansion.
CR-018,"Useful diagrams, plots and workflow/conceptual figures are present",docs/substack-ready/figures/*.png; docs/figures/*.png; outputs/*.png,File count and image dimension check,Pass,Twelve Substack-ready figures plus modelling/MCDA/validation plots are present.
CR-019,Substack figure placement and alt text are specified,docs/substack-ready/figure-placement-and-alt-text-v1.2.0.md,Artefact inspection,Pass,Figure placement and alt-text guidance is present.
CR-020,Audit and traceability are present,docs/audit/*ledger*.csv; docs/audit/game-map-traceability-matrix-v0.4.1.csv; docs/audit/contract-compliance-audit-v1.2.1.md,Artefact inspection,Pass,"Claim-source ledger, traceability matrix, audit report and acceptance matrix are present."
CR-021,Local Markdown links and figure references resolve,docs/audit/local-link-audit-v1.2.1.csv,Automated local link audit,Pass,Local Markdown link audit found 0 broken local links after v1.2.1 remediation.
CR-022,Model tests pass,pytest -q output; docs/audit/contract-compliance-audit-v1.2.1.md,Automated test run,Pass,42 tests passed.
CR-023,README and Conductor index reflect current package state,README.md; conductor/tracks.md,Manual inspection,Pass,Stale README and track index were updated in v1.2.1.
CR-024,Package includes git history,./.git/; docs/audit/remediation-log-v1.2.1.md,Git inspection,Pass after remediation,v1.2.1 package is initialised as a git repository and includes a v1.2.1 audit commit.
CR-025,External source live reachability is not overclaimed,docs/audit/contract-compliance-audit-v1.2.1.md,Scope limitation,Pass with limitation,Audit verifies link formatting/counts and local references; live HTTP status of every external source was not exhaustively checked in this pass.
