scenario_id,scenario_name,funding_architecture,weighted_access,weighted_provider_viability,weighted_equity,weighted_fiscal_control,weighted_hospital_pressure,weighted_gaming_risk,weighted_welfare,supply_generation_index,equity_legitimacy_index,governance_resilience_index,hospital_deflection_index,implementation_readiness_index,fiscal_gaming_risk_index,interaction_penalty,hybrid_viability_score,model_interpretation,draw
S0,Status quo tight control,constrained capitation/contracting equilibrium,34.07,37.82,56.96,77.53,76.48,20.12,42.51,21.34,37.87,56.44,21.43,38.84,15.89,16.12,18.21,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,0
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.28,35.18,55.23,77.26,77.55,20.29,40.92,15.43,35.94,56.97,23.35,41.75,13.42,16.53,16.9,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,1
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.27,36.44,59.13,75.4,77.52,21.38,41.75,17.02,40.09,55.19,20.11,39.45,15.01,15.59,17.57,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,2
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.29,36.48,54.94,76.61,78.07,21.15,40.75,16.71,35.4,55.21,21.79,40.2,16.61,17.71,15.01,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,3
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.24,35.7,54.98,75.95,79.35,21.51,39.96,18.24,37.24,50.99,17.89,32.38,17.18,16.53,14.1,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,4
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.11,34.74,57.84,76.23,78.03,21.51,40.89,14.68,39.35,55.51,22.21,39.92,14.91,16.57,16.47,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,5
S0,Status quo tight control,constrained capitation/contracting equilibrium,34.07,38.38,54.35,76.87,75.64,20.59,41.95,20.76,35.19,55.4,26.12,34.83,17.63,16.19,17.8,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,6
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.7,34.39,60.32,76.49,78.57,21.3,40.99,15.91,42.13,52.83,21.49,37.91,14.78,16.21,16.63,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,7
S0,Status quo tight control,constrained capitation/contracting equilibrium,28.92,33.13,52.57,75.6,80.95,22.05,37.93,11.34,33.49,51.74,18.83,36.54,16.52,19.62,9.52,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,8
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.7,33.52,56.94,78.07,78.15,20.31,40.89,12.38,38.25,57.07,23.01,44.15,12.92,16.27,17.06,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,9
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.92,36.08,56.87,76.86,77.35,20.09,41.61,15.75,39.51,59.29,20.92,46.1,13.9,16.79,17.9,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,10
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.49,34.86,59.25,78.0,79.4,20.14,41.14,14.92,40.92,56.18,19.77,38.97,13.92,17.55,15.32,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,11
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.03,35.27,56.93,75.38,77.53,21.91,40.61,15.89,38.14,54.41,22.09,42.6,15.14,16.73,16.47,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,12
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.13,37.82,56.93,74.92,76.8,21.76,41.43,19.76,39.22,52.01,20.88,38.6,17.03,16.66,16.39,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,13
S0,Status quo tight control,constrained capitation/contracting equilibrium,34.15,38.44,56.72,78.5,76.56,19.62,42.84,19.21,38.8,58.43,21.48,40.77,16.82,18.57,16.09,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,14
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.41,35.45,55.96,76.24,78.2,21.57,40.66,15.18,37.41,55.05,22.06,39.28,15.63,17.09,15.51,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,15
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.58,34.52,60.65,76.78,77.07,20.92,41.94,13.7,42.54,56.61,25.45,42.51,13.44,15.8,18.86,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,16
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.57,36.74,54.93,74.06,78.46,22.9,40.04,16.6,36.3,52.54,19.89,41.67,17.98,18.77,13.27,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,17
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.36,34.46,54.58,75.86,79.98,21.61,39.28,14.37,35.8,54.72,18.59,43.14,15.46,17.76,14.01,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,18
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.15,33.87,57.85,76.9,79.2,20.86,40.26,14.38,39.87,53.78,20.47,34.71,14.77,17.69,13.93,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,19
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.6,34.12,57.64,76.1,79.41,21.31,40.14,13.82,40.54,53.14,17.93,36.98,14.96,15.8,15.39,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,20
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.29,34.57,56.2,76.33,78.39,21.12,40.31,14.37,38.29,52.93,21.11,38.6,14.79,16.6,15.19,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,21
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.44,37.6,52.78,73.9,78.12,22.75,40.01,17.33,34.32,52.77,20.7,39.94,17.89,18.87,13.0,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,22
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.39,33.67,56.12,78.28,79.31,19.86,40.33,12.95,37.3,57.34,20.61,40.27,13.71,16.67,15.66,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,23
S0,Status quo tight control,constrained capitation/contracting equilibrium,34.63,38.48,56.25,73.23,76.66,22.74,41.35,20.13,36.79,52.97,21.96,38.47,17.48,17.14,16.0,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,24
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.18,35.45,57.8,76.4,77.44,21.69,41.11,15.55,38.22,54.05,24.45,38.37,15.61,16.63,16.4,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,25
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.0,35.77,58.57,79.2,76.68,18.94,42.39,15.5,40.28,57.88,22.34,41.01,13.8,15.78,18.32,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,26
S0,Status quo tight control,constrained capitation/contracting equilibrium,30.36,34.41,56.51,76.86,78.7,20.45,40.26,14.58,36.3,55.52,20.67,42.19,14.76,16.9,15.53,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,27
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.9,34.58,58.38,76.85,77.92,21.24,41.1,13.6,39.07,54.6,21.96,38.42,14.16,15.98,16.29,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,28
S0,Status quo tight control,constrained capitation/contracting equilibrium,29.27,33.28,57.47,78.76,80.88,19.91,40.1,11.8,39.5,56.76,16.83,37.5,14.14,18.26,12.86,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,29
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.46,35.08,55.1,74.81,78.32,22.2,40.03,15.07,36.39,53.21,21.65,37.53,15.78,16.99,14.68,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,30
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.77,34.81,56.27,76.37,77.77,21.57,40.51,14.65,37.42,54.58,23.42,43.11,14.83,16.85,16.31,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,31
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.34,34.8,56.83,76.62,78.15,21.39,40.55,16.66,37.32,54.91,22.32,40.53,15.22,17.29,15.85,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,32
S0,Status quo tight control,constrained capitation/contracting equilibrium,31.98,35.9,50.96,76.59,78.17,20.99,39.69,15.12,31.31,53.96,25.25,32.74,16.27,17.81,13.29,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,33
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.16,36.76,54.36,77.14,78.5,20.76,40.74,18.21,35.41,57.18,19.59,42.65,17.02,18.02,15.34,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,34
S0,Status quo tight control,constrained capitation/contracting equilibrium,33.0,36.1,57.55,76.45,77.2,21.25,41.53,17.38,39.16,54.17,23.57,36.68,16.48,16.21,17.06,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,35
S0,Status quo tight control,constrained capitation/contracting equilibrium,34.35,36.8,60.39,75.13,76.54,21.64,42.44,18.23,42.37,54.26,22.15,39.7,14.31,15.25,18.9,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,36
S0,Status quo tight control,constrained capitation/contracting equilibrium,32.61,36.36,54.33,73.31,78.24,23.0,39.73,16.07,35.08,51.81,19.44,38.21,17.15,18.33,12.65,Status quo equilibrium: upstream sectors are tightly managed while hospital pressure remains visible and fundable.,37
