option_id,option,criterion_id,criterion,raw_score_minus2_to_plus2,confidence_0_to_1,rationale
O0,Status quo tight control,C1,Access and supply generation,,,
O0,Status quo tight control,C2,Hospital deflection,,,
O0,Status quo tight control,C3,Equity and Te Tiriti legitimacy,,,
O0,Status quo tight control,C4,Rural and in-person resilience,,,
O0,Status quo tight control,C5,Fiscal sustainability,,,
O0,Status quo tight control,C6,Gaming and low-value activity risk,,,
O0,Status quo tight control,C7,Administrative simplicity and market entry,,,
O0,Status quo tight control,C8,Governance and clinical safety,,,
O0,Status quo tight control,C9,Political feasibility,,,
O0,Status quo tight control,C10,Data and accountability readiness,,,
O1,Capitation reweighting only,C1,Access and supply generation,,,
O1,Capitation reweighting only,C2,Hospital deflection,,,
O1,Capitation reweighting only,C3,Equity and Te Tiriti legitimacy,,,
O1,Capitation reweighting only,C4,Rural and in-person resilience,,,
O1,Capitation reweighting only,C5,Fiscal sustainability,,,
O1,Capitation reweighting only,C6,Gaming and low-value activity risk,,,
O1,Capitation reweighting only,C7,Administrative simplicity and market entry,,,
O1,Capitation reweighting only,C8,Governance and clinical safety,,,
O1,Capitation reweighting only,C9,Political feasibility,,,
O1,Capitation reweighting only,C10,Data and accountability readiness,,,
O2,Capitation reweighting plus access target,C1,Access and supply generation,,,
O2,Capitation reweighting plus access target,C2,Hospital deflection,,,
O2,Capitation reweighting plus access target,C3,Equity and Te Tiriti legitimacy,,,
O2,Capitation reweighting plus access target,C4,Rural and in-person resilience,,,
O2,Capitation reweighting plus access target,C5,Fiscal sustainability,,,
O2,Capitation reweighting plus access target,C6,Gaming and low-value activity risk,,,
O2,Capitation reweighting plus access target,C7,Administrative simplicity and market entry,,,
O2,Capitation reweighting plus access target,C8,Governance and clinical safety,,,
O2,Capitation reweighting plus access target,C9,Political feasibility,,,
O2,Capitation reweighting plus access target,C10,Data and accountability readiness,,,
O3,Primary Care Benefits Schedule,C1,Access and supply generation,,,
O3,Primary Care Benefits Schedule,C2,Hospital deflection,,,
O3,Primary Care Benefits Schedule,C3,Equity and Te Tiriti legitimacy,,,
O3,Primary Care Benefits Schedule,C4,Rural and in-person resilience,,,
O3,Primary Care Benefits Schedule,C5,Fiscal sustainability,,,
O3,Primary Care Benefits Schedule,C6,Gaming and low-value activity risk,,,
O3,Primary Care Benefits Schedule,C7,Administrative simplicity and market entry,,,
O3,Primary Care Benefits Schedule,C8,Governance and clinical safety,,,
O3,Primary Care Benefits Schedule,C9,Political feasibility,,,
O3,Primary Care Benefits Schedule,C10,Data and accountability readiness,,,
O4,Benefits schedule plus scope-enabled eligibility,C1,Access and supply generation,,,
O4,Benefits schedule plus scope-enabled eligibility,C2,Hospital deflection,,,
O4,Benefits schedule plus scope-enabled eligibility,C3,Equity and Te Tiriti legitimacy,,,
O4,Benefits schedule plus scope-enabled eligibility,C4,Rural and in-person resilience,,,
O4,Benefits schedule plus scope-enabled eligibility,C5,Fiscal sustainability,,,
O4,Benefits schedule plus scope-enabled eligibility,C6,Gaming and low-value activity risk,,,
O4,Benefits schedule plus scope-enabled eligibility,C7,Administrative simplicity and market entry,,,
O4,Benefits schedule plus scope-enabled eligibility,C8,Governance and clinical safety,,,
O4,Benefits schedule plus scope-enabled eligibility,C9,Political feasibility,,,
O4,Benefits schedule plus scope-enabled eligibility,C10,Data and accountability readiness,,,
