post,title,word_count,sentence_count,avg_words_per_sentence,inline_or_source_links,figure,abbreviation_flags,publication_readiness,note
1,Why primary care funding is not just about more money,1176,85,13.8,9,fig-01-whole-system-flow-v1.2.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
2,"Fee-for-service, capitation and blended funding: a plain-English guide",945,78,12.1,8,fig-02-funding-models-101-v1.2.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
3,Why capitation can be fair and still constrain supply,941,79,11.9,8,parameterised-supply-vs-hospital-pressure-v1.0.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
4,Why blended funding is not a blank cheque,852,72,11.8,6,parameterised-hybrid-viability-v1.0.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
5,The case for a National Primary Care Benefits Schedule,980,79,12.4,9,fig-03-primary-care-benefits-schedule-v1.2.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
6,Who should be allowed to generate primary care supply?,964,64,15.1,6,fig-03-primary-care-benefits-schedule-v1.2.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
7,Primary Health Organisations: useful function or payment friction?,876,73,12.0,8,fig-01-whole-system-flow-v1.2.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
8,Ambulance and Accident Compensation Corporation: the hidden upstream system,953,67,14.2,8,fig-01-whole-system-flow-v1.2.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
9,Why hospitals win the funding game,906,78,11.6,7,fig-04-hospital-rescue-loop-v1.2.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
10,Co-payments: demand signal or equity failure?,885,72,12.3,7,fig-03-primary-care-benefits-schedule-v1.2.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
11,How decision-makers can use the game map without pretending it is a crystal ball,941,82,11.5,7,fig-06-mcda-workshop-flow-v1.2.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
12,What we need to test next,989,79,12.5,9,fig-07-validation-roadmap-v1.2.0.png,,ready for editorial review,Humanized Substack-ready draft; still should be reviewed by Dylan for final voice and political judgement.
