Claim_ID,Short_Name,Claim,Evidence_Level,Source_IDs,Linked_Games,Artefacts,Test_or_Next_Step
C001,Capitation model is public at high level,"New Zealand's general practice capitation model is publicly described at a high level, including its 2002 introduction and reweighting variables.",1,S001;S002,G3,Brief 01; NZ game atlas,Request current operational calculation workbook and rate tables.
C002,Reweighting not architecture reform,The recent Sapere-related capitation work improves variables/weights but does not consider fundamental changes to the overall primary care funding model.,1,S002,G3;G14,Brief 01; game formalisation,Use as boundary condition for review: allocation reform versus supply-architecture reform.
C003,Historical formula embedded observed use,"The historical capitation model was substantially based on observed/historical utilisation patterns, which may embed access constraints rather than measure unconstrained need.",3,S002;S011,G3;G12,Review protocol; capitation audit,Review Sapere report and Hauora materials; seek formula documentation through OIA.
C004,PHO transparency limits,"The Ministry has limited direct access to PHO financial activity, ownership structures and business models, constraining monitoring.",1,S003,G5,PHO brief; OIA requests,Collect PHO financial statements and compare with briefing.
C005,PHO functions vs intermediation,PHO population-health/locality functions should be assessed separately from PHO payment intermediation and gateway functions.,5,S003;S004,G5;G12,Brief 02,"Stakeholder interviews with PHOs, providers, Māori/Pacific providers and Health NZ commissioners."
C006,No mandatory PHO contracting precedent,The 2020 Health and Disability System Review recommended that it should no longer be mandatory to contract primary health care through PHOs.,1,S004,G5,Brief 02,Map which parts of the recommendation have or have not been implemented.
C007,Tier 1 ring-fence precedent,The 2020 Health and Disability System Review recommended Tier 1 funding be protected from diversion to other services.,1,S004,G1;G2,Game map; architecture options,"Compare with proposed demand-driven contact benefits, which are not a fixed ring-fence."
C008,Primary care access target,Health NZ is developing a National Primary Care Dataset linked to an 80% within-seven-days access target.,1,S005,G11;G14,KPI brief; modelling data register,"Obtain data dictionary, reporting definitions and denominator rules."
C009,Ambulance performance reporting,"Health NZ commissions ambulance services for Health NZ and ACC and receives performance data including response-time KPIs, demand, quality and call type.",1,S006,G7;G11;G14,Ambulance brief; KPI brief,"Seek treat-and-refer, hear-and-treat, non-conveyance and ED handover data."
C010,Australia blended architecture review,Australia has a recent review proposing a new primary care funding architecture and considering blended funding.,1,S007,AU1,Australia brief,Compare recommendation structure with NZ contact benefits proposal.
C011,Capitation marginal supply,Dominant capitation can weakly fund the marginal cost of additional clinically necessary contacts once a patient is enrolled.,2,T001,G3,Theory map; simulation specs,Quantify marginal revenue and marginal cost by contact type using practice data.
C012,FFS activity incentive,Fee-for-service/activity-sensitive payment creates a marginal payment signal for additional activity but may increase low-value volume if poorly specified.,2,T001;R001,G3;G10,Review protocol; Brief 01,"Extract evidence on volume, quality, cost and outcomes from review."
C013,Blended funding rationale,Blended funding can combine population accountability with marginal supply incentives and targeted chronic/complex care funding.,3,S007;R001;T001,G3;G10,Policy brief suite,Evidence map: blended model effects by outcome and setting.
C014,Hospital salience,"Hospital demand is more politically visible and operationally urgent than dispersed upstream unmet need, creating a hospital-rescue equilibrium.",3,T002;S004,G1;G2,Game atlas; Substack post 04,Budget/time-series analysis and executive stakeholder interviews.
C015,Unmet need pathway,"Delayed or unmet primary care need can shift some demand into ambulance, ED, admission and delayed-discharge pathways.",3,R002;S005;S006,G4;G7,System dynamics spec,Estimate pathway probabilities using linked data and literature.
C016,ACC stabiliser,ACC activity payments may stabilise primary care supply and should not be constrained without whole-of-system modelling.,4,T003,G6,ACC/ambulance brief,Practice revenue decomposition; ACC claims data; provider interviews.
C017,Scope-enabled benefits,"Funding eligibility based on contact type, legal scope and clinical governance could expand supply beyond traditional GP-only capacity constraints.",5,T004;S007,G8,Brief 01; provider-scope post,Scope-by-contact type safety and feasibility review.
C018,Co-payment dual effect,Co-payments can operate as a demand signal but can also deter necessary care and worsen equity.,2,T001;R003,G10;G12,Substack post 05; Brief 01,Estimate price elasticity by group and contact type; design concessions/safety nets.
C019,KPI salience,"Top-tier KPIs can change management attention, but can also generate gaming or reporting burden if not linked to capacity and quality.",3,T002;S005;S006,G11,KPI brief,Review target literature; interview executives; design balancing measures.
C020,Data observability,Unobserved upstream unmet need is less fundable than measured hospital pressure; linked primary/ambulance/hospital data are needed to test the map.,3,S005;S006;T005,G14,Validation plan; data register,Data linkage feasibility assessment.
C021,Equity and trust,"Direct benefits cannot substitute for kaupapa Māori, Pacific, locality, outreach and trust functions.",3,S004;S011,G12,PHO brief; equity audit,Independent Māori/Pacific review and Te Tiriti/equity impact assessment.
C022,Telehealth substitution risk,Telehealth can extend access but may substitute for local in-person supply if incentives reward remote scale without local integration.,3,R004,G9,Telehealth post; scenario library,Review telehealth evidence; model rural substitution/complementarity scenarios.
C023,Demand-driven schedule fiscal risk,"A demand-driven benefits schedule may expand beneficial access, low-value activity, or both; fiscal risk depends on contact definitions, co-payments, audit and substitution from hospital.",4,T001;T006,G3;G10,Fiscal sensitivity plan,Scenario and sensitivity analysis.
C024,Professional constraints vs safety constraints,"The proposal removes funding-model professional constraints, not clinical safety constraints; scopes, prescribing rules and governance remain binding.",5,T004,G8,Brief 01,"Map contacts to scope, governance and prescribing rules."
C025,Review standards,"PRISMA-ScR, STRESS, ODD and CHEERS provide appropriate reporting standards for evidence map, simulation model, agent-based model and economic evaluation stages.",1,S008;S009;S010;S012,ALL,Audit dossier; review crosswalks,"Apply standards during reporting, not only retrospectively."
