post,title,public_file,appendix_file,public_words,selected_main_words,long_draft_words,appendix_words,external_links_public,external_links_appendix,figure_links_public,target_status
01,Are we buying hospital growth by rationing cheaper care upstream?,docs/substack-ready/posts-v1.5.1-public/post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.1.md,docs/substack-ready/appendices-v1.5.1/appendix-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.1.md,921,779,2053,1330,5,18,1,pass
02,"Fee-for-service, capitation and blended funding: the plain-English version",docs/substack-ready/posts-v1.5.1-public/post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.1.md,docs/substack-ready/appendices-v1.5.1/appendix-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.1.md,884,755,1945,1245,5,16,1,pass
03,Marginal supply: the tiny economic idea that decides whether appointments exist,docs/substack-ready/posts-v1.5.1-public/post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md,docs/substack-ready/appendices-v1.5.1/appendix-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.1.md,903,779,1867,1145,5,16,2,pass
04,Why formulas do not solve games,docs/substack-ready/posts-v1.5.1-public/post-04-why-formulas-do-not-solve-games-v1.5.1.md,docs/substack-ready/appendices-v1.5.1/appendix-04-why-formulas-do-not-solve-games-v1.5.1.md,899,746,1907,1213,5,16,1,pass
05,"The current reform pathway: stronger than a straw man, but maybe still incomplete",docs/substack-ready/posts-v1.5.1-public/post-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.5.1.md,docs/substack-ready/appendices-v1.5.1/appendix-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.5.1.md,922,776,1942,1225,5,16,1,pass
06,What I mean by uncapping primary care funding,docs/substack-ready/posts-v1.5.1-public/post-06-what-i-mean-by-uncapping-primary-care-funding-v1.5.1.md,docs/substack-ready/appendices-v1.5.1/appendix-06-what-i-mean-by-uncapping-primary-care-funding-v1.5.1.md,896,759,1948,1243,5,16,2,pass
07,The hospital salience game and the Health New Zealand allocation game,docs/substack-ready/posts-v1.5.1-public/post-07-the-hospital-salience-game-and-the-health-new-zealand-allocation-game-v1.5.1.md,docs/substack-ready/appendices-v1.5.1/appendix-07-the-hospital-salience-game-and-the-health-new-zealand-allocation-game-v1.5.1.md,923,774,1961,1244,5,16,1,pass
08,The capitation marginal-supply game and the consumer access game,docs/substack-ready/posts-v1.5.1-public/post-08-the-capitation-marginal-supply-game-and-the-consumer-access-game-v1.5.1.md,docs/substack-ready/appendices-v1.5.1/appendix-08-the-capitation-marginal-supply-game-and-the-consumer-access-game-v1.5.1.md,912,771,1963,1247,5,16,2,pass
09,"Primary Health Organisations: useful functions, payment friction and cherry-picking",docs/substack-ready/posts-v1.5.1-public/post-09-primary-health-organisations-useful-functions-payment-friction-and-cherry-picking-v1.5.1.md,docs/substack-ready/appendices-v1.5.1/appendix-09-primary-health-organisations-useful-functions-payment-friction-and-cherry-picking-v1.5.1.md,906,766,1932,1221,5,16,1,pass
10,"Accident Compensation Corporation, ambulance and urgent care: the hidden upstream system",docs/substack-ready/posts-v1.5.1-public/post-10-accident-compensation-corporation-ambulance-and-urgent-care-the-hidden-upstream-system-v1.5.1.md,docs/substack-ready/appendices-v1.5.1/appendix-10-accident-compensation-corporation-ambulance-and-urgent-care-the-hidden-upstream-system-v1.5.1.md,905,769,1889,1177,5,16,1,pass
