game_id,game_name,scenario_id,scenario_name,access_score,provider_viability,equity_score,fiscal_control,hospital_pressure,gaming_risk,system_welfare,equilibrium_label,mechanism_summary
G1,Hospital-salience budget game,P0,Current source-informed baseline,36.7,29.52,63.27,80.4,70.33,18.5,44.81,hospital-rescue equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,P0,Current source-informed baseline,37.75,17.25,55.74,84.4,62.58,29.48,41.06,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
G3,Capitation marginal-supply game,P0,Current source-informed baseline,23.45,23.36,55.81,88.96,79.15,11.0,40.0,marginal-rationing equilibrium,"Additional contacts expand only when combined public benefit and co-payment exceed marginal cost, admin cost and risk."
G4,Consumer access pathway game,P0,Current source-informed baseline,39.29,43.36,62.14,77.45,76.58,20.38,46.03,delay/ED-substitution equilibrium,"Patients move to lower-cost access when price, wait, travel and trust costs are lower than delay or ED substitution."
G5,PHO intermediation game,P0,Current source-informed baseline,13.11,24.84,58.83,79.6,82.09,25.0,33.42,intermediated-gatekeeping equilibrium,Direct claiming improves entry only if PHO/locality equity and population-health functions are explicitly preserved.
G6,ACC/Health NZ cross-funder game,P0,Current source-informed baseline,35.15,41.39,63.25,66.1,72.1,24.3,42.64,whole-of-Crown flow equilibrium,ACC activity funding can stabilise lower-cost capacity; constraining it in isolation risks spillover to Health NZ and patients.
G7,Ambulance conveyance game,P0,Current source-informed baseline,43.43,49.54,60.19,70.35,81.69,15.5,46.75,ED-conveyance default,"Alternative disposition is stable only when payment, clinical governance, data and follow-up reduce organisational risk."
G8,Scope-of-practice supply game,P0,Current source-informed baseline,35.82,43.39,62.8,79.3,80.24,15.2,45.96,professional-bottleneck equilibrium,"Funding eligibility should follow safe scope and governance, not professional category alone."
G9,Telehealth/local-supply game,P0,Current source-informed baseline,48.36,37.58,60.01,78.7,71.06,26.5,46.95,telehealth-substitution/fragmentation,Telehealth improves simple access but must be integrated and paired with local in-person capacity.
G10,Co-payment calibration game,P0,Current source-informed baseline,54.23,51.6,67.12,73.5,61.63,11.12,55.84,price-rationing equity failure,Co-payment can moderate discretionary demand but becomes a delayed-care mechanism without protections.
G11,KPI salience game,P0,Current source-informed baseline,44.79,45.9,70.19,78.2,66.53,17.7,51.82,hospital-target dominance,"Top-tier KPIs shift behaviour only if paired with funding levers, data and balancing measures."
G12,Equity and trust game,P0,Current source-informed baseline,44.5,50.09,57.83,76.3,62.53,18.82,49.79,benefits plus equity-function equilibrium,"Demand-driven benefits need retained kaupapa Maori, Pacific, rural and locality functions to avoid transactional equity failure."
G13,Political economy game,P0,Current source-informed baseline,43.59,46.76,66.06,76.58,66.77,17.84,50.38,institutional-defence equilibrium,Reform becomes feasible when framed as patient access and hospital avoidance rather than sector income or anti-PHO politics.
G14,Data observability game,P0,Current source-informed baseline,33.27,41.31,68.6,75.45,75.73,34.5,42.61,hidden-unmet-need equilibrium,"Upstream access failure becomes fundable only when data links it to ambulance, ED and avoidable admission outcomes."
G1,Hospital-salience budget game,P1,Capitation reweighting plus access target,41.2,32.15,69.25,82.2,63.82,17.0,49.36,hospital-rescue equilibrium,"Hospital rescue bias falls only when upstream access becomes visible, funded and politically salient."
G2,Health NZ internal allocation game,P1,Capitation reweighting plus access target,42.9,18.65,61.2,86.2,58.66,29.48,44.83,hospital-operations dominance,Management attention shifts upstream when primary and ambulance outcomes have hospital-equivalent salience.
