file,link,exists
post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.7.2.md,../figures/fig-01-whole-system-flow-v1.2.0.png,True
post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.7.2.md,../appendices-v1.7.2/appendix-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.7.2.md,True
post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.7.2.md,../figures/fig-02-funding-models-101-v1.2.0.png,True
post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.7.2.md,../appendices-v1.7.2/appendix-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.7.2.md,True
post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.7.2.md,../figures/fig-15-marginal-revenue-cost-v1.5.0.png,True
post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.7.2.md,../figures/fig-08-marginal-supply-capitation-vs-ffs-v1.4.0.png,True
post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.7.2.md,../appendices-v1.7.2/appendix-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.7.2.md,True
post-04-why-formulas-do-not-solve-games-v1.7.2.md,../figures/fig-09-fixed-envelope-rationing-v1.4.0.png,True
post-04-why-formulas-do-not-solve-games-v1.7.2.md,../appendices-v1.7.2/appendix-04-why-formulas-do-not-solve-games-v1.7.2.md,True
post-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.7.2.md,../figures/fig-14-current-reform-vs-uncapped-hybrid-v1.4.0.png,True
post-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.7.2.md,../appendices-v1.7.2/appendix-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.7.2.md,True
post-06-what-i-mean-by-uncapping-primary-care-funding-v1.7.2.md,../figures/fig-16-uncapped-scheduled-benefit-supply-v1.5.0.png,True
post-06-what-i-mean-by-uncapping-primary-care-funding-v1.7.2.md,../figures/fig-13-hybrid-architecture-v1.4.0.png,True
post-06-what-i-mean-by-uncapping-primary-care-funding-v1.7.2.md,../appendices-v1.7.2/appendix-06-what-i-mean-by-uncapping-primary-care-funding-v1.7.2.md,True
