parameter_id,name,tier,identifiability,recommended_estimation_path,current_source_status,real_data_needed
D01,base_need_per_1000,Tier 1 — core load-bearing,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",placeholder prior,"Monthly encounters, unmet need, population denominators"
D02,urgent_need_share,Tier 2 — extended policy lever,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",placeholder prior,"Booking urgency, after-hours encounters, ED substitutable care"
D03,routine_need_share,Tier 3 — exploratory/risk/implementation,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",derived prior,Appointment type and reason-for-visit coding
D04,chronic_need_index,Tier 2 — extended policy lever,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",source-informed prior,"Multimorbidity counts, LTC registers, medication/diagnosis proxies"
D05,rurality_demand_modifier,Tier 2 — extended policy lever,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",source-informed prior,"Rurality classification, travel time, provider proximity"
D06,deprivation_demand_modifier,Tier 2 — extended policy lever,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",source-informed prior,"NZDep, unmet need, ED and admission outcomes"
D07,multimorbidity_demand_modifier,Tier 2 — extended policy lever,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",source-informed prior,"Condition counts, polypharmacy, hospital risk"
D08,price_elasticity_general,Tier 1 — core load-bearing,Estimable with variation; may require quasi-experiment,"Use observed fee variation, policy changes, concession status or natural experiments; stratify by deprivation, ethnicity, rurality and multimorbidity.",placeholder prior,"Practice fees, CSC/VLCA status, utilisation changes"
D09,price_elasticity_high_need,Tier 1 — core load-bearing,Estimable with variation; may require quasi-experiment,"Use observed fee variation, policy changes, concession status or natural experiments; stratify by deprivation, ethnicity, rurality and multimorbidity.",placeholder prior,Fees and utilisation by ethnicity/deprivation/rurality/morbidity
D10,telehealth_acceptability,Tier 3 — exploratory/risk/implementation,Partly observable; requires funding/payment documents and OIA/data access,"Combine capitation tables, payment rules, PHO pass-through data, ACC claims/contracts and stakeholder validation.",placeholder prior,"Mode of consultation, outcome, re-presentation"
D11,unmet_need_persistence,Tier 1 — core load-bearing,Partly observable; need and unmet need require triangulation,"Combine encounter data, population denominators, surveys, disease registers, deprivation/rurality measures and unmet-need indicators.",placeholder prior,"Delayed care, repeat attempts, ED conversion"
D12,delay_complexity_growth,Tier 1 — core load-bearing,Provisional / theoretical until data access,Retain as sensitivity parameter; replace with empirical estimate only if data are sufficient.,placeholder prior,Waiting time to ED/admission/acuity
S01,gp_capacity_index,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"GP FTE, sessions, appointment slots"
S02,nurse_np_capacity_index,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,NP/nurse FTE and scope of activity
S03,pharmacist_capacity_index,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"Pharmacy locations, FTE, prescribing services"
S04,allied_health_capacity_index,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"Physio, psychology, counselling, other FTE/activity"
S05,paramedic_alt_capacity_index,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"Paramedic workforce, alternative pathway activity"
S06,medical_productivity_per_fte,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"Appointments per FTE, session templates"
S07,np_nurse_productivity_per_fte,Tier 2 — extended policy lever,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"NP/nurse consultations, protocol care"
S08,scope_substitution_rate,Tier 1 — core load-bearing,Estimable from provider/workforce and practice data,"Use workforce registers, practice appointment capacity, claims activity, provider type and locality panels.",placeholder prior,"Contact type, provider type, safety outcomes"
