Game_ID,Game_Name,Core_Claim,Evidence_Status,Key_Public_Evidence_or_Theory,Assumptions_to_Test,Primary_Artefacts,Falsification_Risk
G1,Hospital-salience budget game,"Hospital pressure is more visible, urgent and politically salient than upstream access failure.",Public evidence + theory,Health NZ role descriptions; health target and hospital-pressure documents; political salience theory,Degree of budget crowd-out requires empirical testing,docs/concepts/nz-policy-game-atlas-v0.4.0.md; docs/policy-briefs/brief-06-nz-game-theory-map-v0.4.0.md,"If hospital growth is fully explained by demographics/workforce independent of upstream access, mechanism weakens."
G2,Health NZ internal allocation game,Commissioning and delivery responsibilities create asymmetric operational pressure across hospital and primary/community sectors.,Public evidence + theory,Health NZ Crown entity role; 2020 Health and Disability System Review,Extent to which operational baselines constrain primary care access funding requires budget analysis,docs/modelling/nz-game-theory-formalisation-v0.4.0.md,"If appropriations and internal controls fully protect primary care growth, mechanism weakens."
G3,Capitation marginal-supply game,Dominant capitation may under-reward additional clinically necessary contacts once a patient is enrolled.,Theory + partial evidence,Ministry capitation reweighting material; Sapere briefing; microeconomic marginal-cost logic,"Need evidence of closed books, wait times, co-payment changes and practice viability under capitation",docs/policy-briefs/brief-01-nz-primary-care-benefits-schedule-v0.3.0.md,"If capitation plus co-payment/programme funding already funds marginal supply adequately, mechanism weakens."
G4,Consumer access pathway game,"Patients respond to constrained access by waiting, paying, delaying, using telehealth, ambulance or ED.",Theory + partial evidence,Primary care access target material; ED demand literature to be reviewed,Pathway probabilities need empirical calibration by deprivation/rurality/age,docs/modelling/system-dynamics-spec-v0.1.0.md; docs/modelling/agent-based-model-spec-v0.1.0.md,"If unmet primary care need rarely converts to ED/hospital use, downstream mechanism weakens."
G5,PHO intermediation game,"PHO functions may add value, but payment intermediation may add opacity, transaction cost or entry barriers.",Public evidence + hypothesis,2020 Health and Disability System Review; 2025 PHO finance briefing; OIA trail,Need direct provider and PHO stakeholder validation plus financial/contract analysis,docs/policy-briefs/brief-02-pho-functions-vs-intermediation-v0.2.0.md,"If PHO intermediation measurably reduces transaction cost and improves supply expansion, reform hypothesis changes."
G6,ACC/Health NZ cross-funder game,ACC activity-based payments may stabilise primary care supply and should not be assessed in isolation.,Hypothesis + theory,ACC funding architecture sources to be expanded; provider revenue data needed,Materiality of ACC revenue to practice viability requires data/OIA/stakeholders,docs/policy-briefs/brief-03-ambulance-primary-care-and-hospital-avoidance-v0.2.0.md,"If ACC revenue is not material to practice capacity, hypothesis weakens."
G7,Ambulance conveyance game,"Ambulance can function as hospital-avoidance infrastructure, but ED conveyance may be the default unless alternatives are funded and governed.",Public evidence + theory,Health NZ Ambulance Team performance and commissioning material,"Need data on treat-and-refer, hear-and-treat, non-conveyance safety and ramping",docs/policy-briefs/brief-03-ambulance-primary-care-and-hospital-avoidance-v0.2.0.md,"If alternatives to conveyance are unsafe, unavailable or not cost-effective, mechanism narrows."
G8,Scope-of-practice supply game,Funding rules can create artificial professional bottlenecks if narrower than legal scope and clinical governance.,Theory + policy option,Scope-of-practice regulation; multidisciplinary primary care literature to be reviewed,Need feasibility and safety review by profession/contact type,docs/policy-briefs/brief-01-nz-primary-care-benefits-schedule-v0.3.0.md,"If non-GP providers cannot expand safe capacity in key contact types, expected supply gain falls."
G9,Telehealth/local-supply game,Telehealth extends access but may weaken local in-person capacity if not integrated and if funding signals favour remote scale.,Theory + partial evidence,Telehealth literature and NZ access documents to be expanded,"Need data on substitution, continuity, examination/procedure requirements, rural capacity",docs/substack/post-10-telehealth-extender-not-replacement-v0.3.0.md,"If telehealth reliably complements rather than substitutes local capacity, risk lower."
G10,Co-payment calibration game,"Co-payments can signal demand and allow consumer choice, but can also deter necessary care and worsen equity.",Theory + strong access/equity concern,NZ primary care access and affordability literature to be reviewed,Need price-elasticity estimates by patient group and contact type,docs/substack/post-05-copayments-demand-signal-or-equity-failure-v0.3.0.md,"If co-payment protections eliminate demand signalling or equity harm remains high, design needs revision."
G11,KPI salience game,Top-tier reporting changes management attention; upstream access needs hospital-equivalent visibility.,Theory + public evidence,NZ health targets; ambulance reporting; National Primary Care Dataset target documents,Need evidence that target elevation changes budget/management behaviour,docs/policy-briefs/brief-05-kpis-and-accountability-v0.2.0.md,"If KPIs create gaming or reporting burden without capacity improvement, KPI strategy weakens."
G12,Equity and trust game,"Direct benefits do not replace kaupapa Māori, Pacific, locality, outreach and trust functions.",Public-policy principle + equity evidence needed,Waitangi Tribunal Hauora; Pae Ora obligations; Māori/Pacific provider evidence to be reviewed,Requires independent Māori/Pacific review and equity impact analysis,docs/policy-briefs/brief-02-pho-functions-vs-intermediation-v0.2.0.md,"If direct claims architecture worsens equity or undermines trusted providers, policy unacceptable."
G13,Political economy game,"The same architecture can be framed as pro-market, anti-PHO, anti-GP, pro-patient or anti-equity depending on actor incentives.",Theory + stakeholder hypothesis,Political economy theory; sector submissions to be reviewed,Need stakeholder mapping and communication testing,docs/concepts/policy-architecture-options-v0.1.0.md,"If framing cannot be made neutral/non-partisan, policy path narrows."
G14,Data observability game,Unmet upstream need remains less fundable if not observed and linked to downstream hospital outcomes.,Public evidence + theory,National Primary Care Dataset documents; ambulance reporting; hospital data sources,Need linked data strategy and data governance,docs/modelling/validation-plan-v0.1.0.md,"If data cannot link upstream access to hospital outcomes, empirical proof remains limited."
